SAMPLE	TYPE	YEAR	COUNTRY	At_proportion	At_covered_proportion	At_average_depth	Ps_proportion	Ps_covered_proportion	Ps_average_depth	GROUP	SOURCE
PL0001	Plant tissue herbarium	1966	Spain	61.00%	87.61%	8.76	1.31%	90.66%	4.58	ATUE5	This study
PL0026	Plant tissue herbarium	2002	Sweden	50.00%	89.86%	12.01	0.50%	72.29%	1.58	ATUE5	This study
PL0059	Plant tissue herbarium	1985	Spain	12.10%	87.14%	6.85	31.47%	92.87%	137.41	ATUE5	This study
PL0073	Plant tissue herbarium	1991	Spain	56.30%	88.14%	8.13	1.05%	83.24%	2.83	ATUE5	This study
PL0087	Plant tissue herbarium	NA	Spain	44.00%	88.46%	8.37	0.33%	62.29%	1.13	ATUE5	This study
PL0102	Plant tissue herbarium	1888	Germany	25.60%	89.59%	7.46	6.34%	95.09%	31.13	ATUE5	This study
PL0105	Plant tissue herbarium	1920	Sweden	51.90%	89.42%	8.6	0.48%	64.37%	1.18	ATUE5	This study
PL0108	Plant tissue herbarium	1946	Sweden	19.60%	89.74%	9.05	0.82%	80.50%	4.89	nonATUE5	This study
PL0131	Plant tissue herbarium	1980	Spain	18.00%	87.70%	6.55	9.59%	92.67%	53.07	ATUE5	This study
PL0139	Plant tissue herbarium	1996	Sweden	13.90%	79.11%	2.36	0.48%	70.92%	1.52	ATUE5	This study
PL0185	Plant tissue herbarium	1994	Germany	43.20%	89.06%	8.35	0.60%	81.74%	2.7	ATUE5	This study
PL0203	Plant tissue herbarium	1880	United Kingdom	54.80%	88.49%	8.06	0.50%	72.39%	1.68	nonATUE5	This study
PL0210	Plant tissue herbarium	1838	United Kingdom	30.30%	84.96%	4.18	3.70%	87.36%	10.36	ATUE5	This study
PL0220	Plant tissue herbarium	1946	United Kingdom	48.60%	88.47%	5.84	8.37%	89.32%	18.44	ATUE5	This study
PL0222	Plant tissue herbarium	1887	United Kingdom	42.10%	89.12%	8.55	0.36%	64.92%	1.23	ATUE5	This study
PL0224	Plant tissue herbarium	1889	United Kingdom	20.20%	89.01%	6.4	1.36%	93.00%	7.01	ATUE5	This study
PL0230	Plant tissue herbarium	1851	United Kingdom	57.30%	90.32%	8.68	0.73%	78.60%	2.01	ATUE5	This study
PL0235	Plant tissue herbarium	1905	United Kingdom	40.30%	86.39%	4.54	3.90%	91.81%	8.56	ATUE5	This study
PL0240	Plant tissue herbarium	1875	United Kingdom	66.70%	88.97%	7.57	2.02%	84.63%	7.38	ATUE5	This study
