sample	tailocin_cov_prop	tailocin_depth	HTF_haplotype_bykmer	HTF_haplotype_bylocalassembly	HTFgroup_Oantigen_PA	wfgD_PA	rmlC1_PA	tagG1_PA	tagH1_PA	spsA_PA	espE2_PA	espE2length
109.NOR_1990	0.9662	28.26	HTF_p5.D5 (1803)	HTF_p5.D5 (1803)	OBC_present	1	1	1	1	1	1	4665
120.RUS_1860	0.9371	5.91	HTF_p5.D5 (1803)	HTF_p5.D5 (1803)	OBC_present	0	1	1	1	1	1	4665
27.ESP_1975	0.7961	1.88	HTF_p21.F9 (1245)	NA	OBC_present	1	1	1	1	1	NA	NA
30.ESP_1983b	0.8016	1.99	HTF_p25.A12 (1383)	NA	OBC_absent	0	0	0	0	0	0	0
33.ESP_1985b	0.9636	34.78	HTF_p23.B8 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
34.ESP_1985c_S36	0.8867	42.57	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
64.GBR_1933b_S36	0.8298	6.03	NA	NA	NA	0	0	0	0	0	0	0
75.LTU_1894_S30	0.9479	7.24	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
76.LTU_2009_S19	0.8864	65.25	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
86.NOR_1911_S7	0.7649	1.66	HTF_p23.B8 (1803)	NA	OBC_present	1	0	1	1	1	NA	NA
HB0737	0.9488	12.32	HTF_p23.B8 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
HB0766	0.8935	8.33	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
HB0808	0.6299	1.24	HTF_p25.A12 (1383)	NA	OBC_absent	0	0	0	0	0	0	0
HB0814	0.9414	10.22	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
HB0840	0.8095	1.76	HTF_p7.G11 (1830)	NA	OBC_absent	0	0	0	0	0	0	0
HB0841	0.7612	1.69	HTF_p7.G11 (1830)	NA	OBC_absent	0	0	0	0	0	0	0
p1.G2	0.9472	46.84	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
p12.A11	0.9066	42.92	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	0	1	1	1	4827
p12.E2	0.9965	119.05	HTF_p25.C2 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p12.G7	0.9472	25.53	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
p13.C1	0.908	80.79	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
p13.D10	0.9421	82.2	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
p13.F3	0.9032	149.3	HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0
p20.D4	0.985	27.7	HTF_p25.C2 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4830
p20.F10	0.8983	25.66	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	0	1	1	1	4827
p20.G9	0.8983	23.34	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	0	1	1	1	4827
p21.A8	0.899	47.84	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	0	1	1	1	4827
p21.E3	0.8894	36.2	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
p21.F1	0.9455	55.85	HTF_p5.D5 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4665
p21.F9	0.915	40.89	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	0	1	1	1	4827
p22.A8	0.8847	35.76	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
p22.B5	0.9002	27.86	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
p22.C1	0.9312	40.68	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
p22.D1	0.8985	9.41	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4740
p22.D4	0.9494	7.01	HTF_p26.D6 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p23.A3	0.8558	85.83	HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0
p23.B2	0.8543	49.68	HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	OBC_absent	1	0	0	0	0	0	0
p23.B8	0.9671	26.47	HTF_p23.B8 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p24.B5	0.9463	23.21	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
p24.H2	0.8291	28.8	HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	OBC_absent	0	0	0	0	0	0	0
p25.A12	0.8627	6.84	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	1	0	0	0	0	0	0
p25.B2	0.9983	9.65	HTF_p25.C2 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p25.C11	0.9102	8.22	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	0	NA	NA
p25.C2	1	42.26	HTF_p25.C2 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p25.D2	1	11.66	HTF_p25.C2 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p26.B7	0.9848	18.48	HTF_p25.C2 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4773
p26.D6	0.9423	10.85	HTF_p26.D6 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p26.E7	0.9665	26.22	HTF_p23.B8 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
p27.D6	0.8839	56.04	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
