label	era	group_ATUE5
p12_A11	Modern	ATUE5
p12_E2	Modern	ATUE5
p12_F2	Modern	ATUE5
p12_G7	Modern	ATUE5
p13_C1	Modern	ATUE5
p13_C7	Modern	ATUE5
p13_D10	Modern	ATUE5
p13_F3	Modern	ATUE5
p20_D4	Modern	ATUE5
p20_F10	Modern	ATUE5
p20_G9	Modern	ATUE5
p21_A8	Modern	ATUE5
p21_E3	Modern	ATUE5
p21_F1	Modern	ATUE5
p21_F9	Modern	ATUE5
p22_A8	Modern	ATUE5
p22_B5	Modern	ATUE5
p22_C1	Modern	ATUE5
p22_D1	Modern	ATUE5
p22_D4	Modern	ATUE5
p23_A3	Modern	ATUE5
p23_B8	Modern	ATUE5
p24_B5	Modern	ATUE5
p24_H2	Modern	ATUE5
p25_A12	Modern	ATUE5
p25_B2	Modern	ATUE5
p25_C11	Modern	ATUE5
p25_C2	Modern	ATUE5
p25_D2	Modern	ATUE5
p26_B7	Modern	ATUE5
p26_D6	Modern	ATUE5
p26_E7	Modern	ATUE5
p27_D6	Modern	ATUE5
p27_F2	Modern	ATUE5
p3_A3	Modern	ATUE5
p3_F12	Modern	ATUE5
p3_F8	Modern	ATUE5
p3_G9	Modern	ATUE5
p4_A6	Modern	ATUE5
p4_D2	Modern	ATUE5
p4_E5	Modern	ATUE5
p4_E6	Modern	ATUE5
p5_C1	Modern	ATUE5
p5_C3	Modern	ATUE5
p5_D5	Modern	ATUE5
p5_H11	Modern	ATUE5
p6_A10	Modern	ATUE5
p6_B9	Modern	ATUE5
p7_G11	Modern	ATUE5
p8_B3	Modern	ATUE5
p8_B9	Modern	ATUE5
p8_C7	Modern	ATUE5
p8_E4	Modern	ATUE5
p8_H7	Modern	ATUE5
p9_C4	Modern	ATUE5
mDC3000	Modern	non-ATUE5
p12_A9	Modern	non-ATUE5
p12_H7	Modern	non-ATUE5
p13_D5	Modern	non-ATUE5
p13_F1	Modern	non-ATUE5
p13_F5	Modern	non-ATUE5
p20_B10	Modern	non-ATUE5
p23_A5	Modern	non-ATUE5
p23_B4	Modern	non-ATUE5
p26_C10	Modern	non-ATUE5
p26_F6	Modern	non-ATUE5
p27_C5	Modern	non-ATUE5
p3_G11	Modern	non-ATUE5
p4_A8	Modern	non-ATUE5
p4_C5	Modern	non-ATUE5
p4_D11	Modern	non-ATUE5
p4_H3	Modern	non-ATUE5
p5_A5	Modern	non-ATUE5
p5_F2	Modern	non-ATUE5
p6_B5	Modern	non-ATUE5
p6_D10	Modern	non-ATUE5
p6_E9	Modern	non-ATUE5
p6_F1	Modern	non-ATUE5
p6_G2	Modern	non-ATUE5
p6_G3	Modern	non-ATUE5
p7_F2	Modern	non-ATUE5
p8_D11	Modern	non-ATUE5
p8_G10	Modern	non-ATUE5
p8_G2	Modern	non-ATUE5
p9_H10	Modern	non-ATUE5
109.NOR_1990	Historical	ATUE5
120.RUS_1860	Historical	ATUE5
27.ESP_1975	Historical	ATUE5
30.ESP_1983b	Historical	ATUE5
33.ESP_1985b	Historical	ATUE5
34.ESP_1985c_S36	Historical	ATUE5
64.GBR_1933b_S36	Historical	ATUE5
75.LTU_1894_S30	Historical	ATUE5
76.LTU_2009_S19	Historical	ATUE5
86.NOR_1911_S7	Historical	ATUE5
HB0737	Historical	ATUE5
HB0766	Historical	ATUE5
HB0814	Historical	ATUE5
HB0840	Historical	ATUE5
HB0841	Historical	ATUE5
PL0001	Historical	ATUE5
PL0026	Historical	ATUE5
PL0027	Historical	ATUE5
PL0042	Historical	ATUE5
PL0046	Historical	ATUE5
PL0051	Historical	ATUE5
PL0053	Historical	ATUE5
PL0059	Historical	ATUE5
PL0065	Historical	ATUE5
PL0068	Historical	ATUE5
PL0073	Historical	ATUE5
PL0080	Historical	ATUE5
PL0102	Historical	ATUE5
PL0127	Historical	ATUE5
PL0131	Historical	ATUE5
PL0137	Historical	ATUE5
PL0139	Historical	ATUE5
PL0185	Historical	ATUE5
PL0210	Historical	ATUE5
PL0220	Historical	ATUE5
PL0222	Historical	ATUE5
PL0224	Historical	ATUE5
PL0230	Historical	ATUE5
PL0235	Historical	ATUE5
PL0240	Historical	ATUE5
HB0828	Historical	non-ATUE5
HB0863	Historical	non-ATUE5
PL0066	Historical	non-ATUE5
PL0108	Historical	non-ATUE5
PL0203	Historical	non-ATUE5
PL0258	Historical	non-ATUE5
