sample	tailocin_cov_prop	tailocin_depth	HTF_haplotype_bykmer	HTF_haplotype_bylocalassembly	HTFgroup_Oantigen_PA	wfgD_PA	rmlC1_PA	tagG1_PA	tagH1_PA	spsA_PA	espE2_PA	espE2length
109.NOR_1990	0.8911	23.26	HTF_p5.D5 (1803)	HTF_p5.D5 (1803)	OBC_present	1	1	1	1	1	1	4665
120.RUS_1860	0.8718	4.85	HTF_p5.D5 (1803)	HTF_p5.D5 (1803)	OBC_present	1	1	1	1	1	1	4665
27.ESP_1975	0.6998	1.53	HTF_p21.F9 (1245)	NA	OBC_present	1	1	1	1	1	NA	NA
30.ESP_1983b	0.7067	1.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33.ESP_1985b	0.8828	24.38	HTF_p23.B8 (1803)	NA	OBC_present	1	1	1	1	1	1	4827
34.ESP_1985c_S36	0.8243	28.35	HTF_p21.F9 (1245)	NA	OBC_present	1	1	1	1	1	1	4665
64.GBR_1933b_S36	0.7786	5.31	HTF_p21.F9 (1245)NA	HTF_p21.F9 (1245)NA	OBC_present	0	0	0	0	0	0	0
75.LTU_1894_S30	0.8674	5.55	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
76.LTU_2009_S19	0.8366	51.81	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
86.NOR_1911_S7	0.6493	1.31	HTF_p23.B8 (1803)	NA	OBC_present	1	1	1	1	1	NA	NA
HB0737	0.8848	13.91	HTF_p23.B8 (1803)	HTF_p26.D6 (1803)	OBC_present	1	1	1	1	1	1	4827
HB0766	0.8683	8.89	HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	OBC_present	1	1	1	1	1	1	4665
HB0814	0.8808	11.09	HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	OBC_absent	0	0	0	0	0	0	0
HB0840	0.735	1.72	HTF_p7.G11 (1830)	NA	OBC_absent	0	0	0	0	0	0	0
HB0841	0.7124	1.74	HTF_p7.G11 (1830)	NA	OBC_absent	0	0	0	0	0	0	0
