samplename	At_percent	At_covered	At_depth	Ps_percent	Ps_covered	Ps_depth	group	type	source	year	country	At_cov_markdup	At_depth_markdup	Ps_cov_markdup	Ps_depth_markdup
PL0001	0.61	0.8761	10.8152	0.03394	0.91162	5.12634	ATUE5	Plant tissue herbarium	PL	1966	Spain	0.876094	8.76009	0.911512	4.62325
PL0026	0.5	0.89862	15.3497	0.01012	0.72721	1.73593	ATUE5	Plant tissue herbarium	PL	2002	Sweden	0.898621	12.0068	0.726993	1.60144
PL0059	0.121	0.87141	7.82769	0.36115	0.93333	487.888	ATUE5	Plant tissue herbarium	PL	1985	Spain	0.871411	6.84818	0.933148	138.268
PL0073	0.563	0.88145	10.0684	0.02439	0.83728	3.12649	ATUE5	Plant tissue herbarium	PL	1991	Spain	0.88145	8.12686	0.837162	2.85822
PL0102	0.256	0.89592	8.90204	0.08611	0.95596	45.2298	ATUE5	Plant tissue herbarium	PL	1888	Germany	0.895922	7.45867	0.955767	31.3478
PL0131	0.18	0.87703	8.12768	0.11808	0.93165	87.6795	ATUE5	Plant tissue herbarium	PL	1980	Spain	0.877034	6.54823	0.931405	53.4061
PL0139	0.139	0.79106	2.95194	0.00559	0.71335	1.72419	ATUE5	Plant tissue herbarium	PL	1996	Sweden	0.791067	2.36283	0.713336	1.53818
PL0185	0.432	0.89062	10.3455	0.01071	0.82221	3.08129	ATUE5	Plant tissue herbarium	PL	1994	Germany	0.890624	8.34564	0.82209	2.73977
PL0210	0.303	0.84957	5.42479	0.0536	0.87842	12.5157	ATUE5	Plant tissue herbarium	PL	1838	United Kingdom	0.849577	4.18344	0.878278	10.4488
PL0220	0.486	0.88469	6.85925	0.1647	0.89824	23.3863	ATUE5	Plant tissue herbarium	PL	1946	United Kingdom	0.884688	5.83634	0.898094	18.5919
PL0222	0.421	0.8912	10.7997	0.00631	0.65297	1.34323	ATUE5	Plant tissue herbarium	PL	1887	United Kingdom	0.891197	8.55333	0.652808	1.24438
PL0224	0.202	0.89011	7.82059	0.01728	0.93532	8.12245	ATUE5	Plant tissue herbarium	PL	1889	United Kingdom	0.890107	6.40007	0.935154	7.07906
PL0230	0.573	0.90324	10.864	0.01731	0.79049	2.22828	ATUE5	Plant tissue herbarium	PL	1851	United Kingdom	0.903246	8.68465	0.790335	2.03632
PL0235	0.403	0.86392	6.06288	0.06616	0.92324	10.0957	ATUE5	Plant tissue herbarium	PL	1905	United Kingdom	0.863924	4.53816	0.923103	8.63398
