samplename At_percent At_covered At_depth Ps_percent Ps_covered Ps_depth
PL0105 0.519 0.89425 08.59994 0.00476 0.64370 01.18138
PL0087 0.440 0.88464 08.3713 0.00332 0.62293 01.13188
HB0808 0.551 0.88061 05.32631 0.00561 0.59813 01.05509
PL0001 0.610 0.87609 08.76009 0.01313 0.90655 04.58407
PL0026 0.500 0.89862 012.0068 0.00501 0.72288 01.58182
PL0059 0.121 0.87141 06.84818 0.31473 0.92873 0137.41308
PL0073 0.563 0.88145 08.12686 0.01054 0.83242 02.82994
PL0102 0.256 0.89592 07.45867 0.06342 0.95089 031.13094
PL0108 0.196 0.89743 09.04577 0.00821 0.80499 04.88990
PL0131 0.180 0.87703 06.54823 0.09595 0.92666 053.07147
PL0139 0.139 0.79106 02.36283 0.00476 0.70917 01.51989
PL0185 0.432 0.89062 08.34564 0.00598 0.81739 02.70056
PL0203 0.548 0.88492 08.05528 0.00498 0.72386 01.67886
PL0210 0.303 0.84957 04.18344 0.03703 0.87362 010.36281
PL0220 0.486 0.88468 05.83634 0.08373 0.89319 018.43989
PL0222 0.421 0.89119 08.55333 0.00362 0.64921 01.23064
PL0224 0.202 0.89010 06.40007 0.01361 0.93002 07.00584
PL0230 0.573 0.90324 08.68465 0.00730 0.78604 02.01339
PL0235 0.403 0.86392 04.53816 0.03904 0.91815 08.55524
PL0240 0.667 0.88965 07.57326 0.02022 0.84632 07.38148
PL0258 0.499 0.88393 06.42256 0.01145 0.83216 02.74853
PL0027 0.483 0.89785 08.8469 0.00333 0.65783 01.26754
PL0042 0.282 0.88618 08.48798 0.15369 0.93774 076.13860
PL0046 0.490 0.88928 012.1704 0.04307 0.89756 019.51570
PL0051 0.015 0.20731 0.260981 0.04891 0.89919 018.43590
PL0053 0.077 0.64014 01.30363 0.02680 0.94161 011.72311
PL0065 0.399 0.88608 012.3462 0.00207 0.68885 01.35408
PL0066 0.434 0.89489 014.3206 0.00323 0.70502 01.60989
PL0068 0.172 0.89279 08.42692 0.01042 0.91815 012.57539
PL0080 0.019 0.39764 0.582327 0.04233 0.94476 029.67395
PL0127 0.091 0.45217 0.678272 0.04613 0.93148 08.62742
PL0137 0.013 0.01886 0.0200638 0.36318 0.89292 016.67046
109.NOR_1990 0.048 0.30045 0.423004 0.11961 0.91975 026.83979
120.RUS_1860 0.357 0.70539 01.75018 0.05956 0.89457 05.59274
27.ESP_1975 0.055 0.07223 0.644721 0.00755 0.74999 01.71225
30.ESP_1983b 0.047 0.47139 0.810803 0.00536 0.75395 01.74125
33.ESP_1985b 0.008 0.13258 0.162315 0.08859 0.91386 031.61650
34.ESP_1985c_S36 0.223 0.81357 02.40227 0.19983 0.89983 041.23301
64.GBR_1933b_S36 0.395 0.74176 01.95415 0.05708 0.86417 05.51260
75.LTU_1894_S30 0.402 0.87962 03.5555 0.03668 0.90644 06.43284
76.LTU_2009_S19 0.002 0.03358 0.0372057 0.26017 0.89197 065.73198
86.NOR_1911_S7 0.316 0.83444 03.74597 0.00598 0.67853 01.35142
HB0737 0.408 0.88147 04.5237 0.03951 0.90075 09.50078
HB0766 0.489 0.88306 05.87102 0.02853 0.88033 08.16026
HB0814 0.192 0.88508 05.04505 0.01822 0.93435 08.97597
HB0828 0.391 0.89472 06.34349 0.00518 0.73526 01.74300
HB0840 0.497 0.89447 06.0891 0.00730 0.76285 01.78048
HB0841 0.494 0.89207 05.67523 0.00706 0.73186 01.59488
HB0863 0.232 0.76878 03.05277 0.00510 0.65009 01.48784
