pos	value	group	Pos	total	base	proportion	pos_from_5end	sample
1	126296	C.T	1	6013892	C	0.021000709690164	1	PL0001_mapped_At_q20.sorted.mapDamage
2	104886	C.T	2	5458937	C	0.0192136307856273	2	PL0001_mapped_At_q20.sorted.mapDamage
3	69716	C.T	3	5533172	C	0.0125996444715617	3	PL0001_mapped_At_q20.sorted.mapDamage
4	61013	C.T	4	5695325	C	0.0107128214807759	4	PL0001_mapped_At_q20.sorted.mapDamage
5	54412	C.T	5	5456215	C	0.00997248092313078	5	PL0001_mapped_At_q20.sorted.mapDamage
6	47836	C.T	6	5151709	C	0.00928546235821938	6	PL0001_mapped_At_q20.sorted.mapDamage
7	45899	C.T	7	5249693	C	0.00874317793440493	7	PL0001_mapped_At_q20.sorted.mapDamage
8	43510	C.T	8	5066071	C	0.00858850971492504	8	PL0001_mapped_At_q20.sorted.mapDamage
9	41394	C.T	9	4951159	C	0.00836046671092566	9	PL0001_mapped_At_q20.sorted.mapDamage
10	41395	C.T	10	5128868	C	0.00807098174489965	10	PL0001_mapped_At_q20.sorted.mapDamage
11	40653	C.T	11	5115844	C	0.00794648937692393	11	PL0001_mapped_At_q20.sorted.mapDamage
12	39164	C.T	12	5019593	C	0.00780222619642668	12	PL0001_mapped_At_q20.sorted.mapDamage
13	39402	C.T	13	5125478	C	0.00768747812399156	13	PL0001_mapped_At_q20.sorted.mapDamage
14	39105	C.T	14	5125918	C	0.00762887740303298	14	PL0001_mapped_At_q20.sorted.mapDamage
15	38474	C.T	15	5050067	C	0.00761851278408781	15	PL0001_mapped_At_q20.sorted.mapDamage
16	38366	C.T	16	5131407	C	0.00747670180907498	16	PL0001_mapped_At_q20.sorted.mapDamage
17	38437	C.T	17	5118669	C	0.00750917865562317	17	PL0001_mapped_At_q20.sorted.mapDamage
18	37110	C.T	18	5034838	C	0.00737064429878379	18	PL0001_mapped_At_q20.sorted.mapDamage
19	37634	C.T	19	5106549	C	0.00736975205760289	19	PL0001_mapped_At_q20.sorted.mapDamage
20	38221	C.T	20	5076067	C	0.00752964844632665	20	PL0001_mapped_At_q20.sorted.mapDamage
21	37719	C.T	21	5004733	C	0.00753666579216114	21	PL0001_mapped_At_q20.sorted.mapDamage
22	38478	C.T	22	5045244	C	0.00762658852574821	22	PL0001_mapped_At_q20.sorted.mapDamage
23	39260	C.T	23	5003081	C	0.00784716457718754	23	PL0001_mapped_At_q20.sorted.mapDamage
24	39419	C.T	24	4898239	C	0.00804758608144682	24	PL0001_mapped_At_q20.sorted.mapDamage
25	40640	C.T	25	4917474	C	0.00826440566843871	25	PL0001_mapped_At_q20.sorted.mapDamage
26	41154	C.T	26	4844225	C	0.00849547657261998	26	PL0001_mapped_At_q20.sorted.mapDamage
27	40656	C.T	27	4701306	C	0.00864780977881465	27	PL0001_mapped_At_q20.sorted.mapDamage
28	40825	C.T	28	4688139	C	0.00870814623883806	28	PL0001_mapped_At_q20.sorted.mapDamage
29	41533	C.T	29	4582738	C	0.00906292264580694	29	PL0001_mapped_At_q20.sorted.mapDamage
30	40857	C.T	30	4423808	C	0.0092357082405023	30	PL0001_mapped_At_q20.sorted.mapDamage
31	40634	C.T	31	4382248	C	0.0092724099594546	31	PL0001_mapped_At_q20.sorted.mapDamage
32	40263	C.T	32	4269134	C	0.00943118674653923	32	PL0001_mapped_At_q20.sorted.mapDamage
33	38922	C.T	33	4088576	C	0.00951969585498716	33	PL0001_mapped_At_q20.sorted.mapDamage
34	38935	C.T	34	4006555	C	0.00971782491442149	34	PL0001_mapped_At_q20.sorted.mapDamage
35	37928	C.T	35	3888314	C	0.00975435625826515	35	PL0001_mapped_At_q20.sorted.mapDamage
36	36716	C.T	36	3716442	C	0.00987934158531197	36	PL0001_mapped_At_q20.sorted.mapDamage
37	36237	C.T	37	3636855	C	0.00996382863765534	37	PL0001_mapped_At_q20.sorted.mapDamage
38	35193	C.T	38	3512292	C	0.0100199527829691	38	PL0001_mapped_At_q20.sorted.mapDamage
39	33684	C.T	39	3328635	C	0.0101194633836392	39	PL0001_mapped_At_q20.sorted.mapDamage
40	32984	C.T	40	3245918	C	0.0101616861547334	40	PL0001_mapped_At_q20.sorted.mapDamage
41	32344	C.T	41	3128072	C	0.0103399154495165	41	PL0001_mapped_At_q20.sorted.mapDamage
42	30362	C.T	42	2957321	C	0.0102667245118132	42	PL0001_mapped_At_q20.sorted.mapDamage
43	29671	C.T	43	2869197	C	0.0103412209060584	43	PL0001_mapped_At_q20.sorted.mapDamage
44	29018	C.T	44	2761986	C	0.0105062082139446	44	PL0001_mapped_At_q20.sorted.mapDamage
