Sample	MeanLength	Genome
PL0137_mapped_At_q20.markdup.sorted.mapDamage	36.9461985427491	Arabidopsis thaliana
PL0051_mapped_At_q20.markdup.sorted.mapDamage	40.5177848446703	Arabidopsis thaliana
PL0235_mapped_At_q20.markdup.sorted.mapDamage	49.6467191490229	Arabidopsis thaliana
PL0210_mapped_At_q20.markdup.sorted.mapDamage	50.5073161472248	Arabidopsis thaliana
PL0001_mapped_At_q20.markdup.sorted.mapDamage	51.0253868685346	Arabidopsis thaliana
PL0203_mapped_At_q20.markdup.sorted.mapDamage	51.0647353132941	Arabidopsis thaliana
PL0059_mapped_At_q20.markdup.sorted.mapDamage	52.9705322964803	Arabidopsis thaliana
PL0102_mapped_At_q20.markdup.sorted.mapDamage	53.167275176394	Arabidopsis thaliana
PL0222_mapped_At_q20.markdup.sorted.mapDamage	53.3346982639616	Arabidopsis thaliana
PL0240_mapped_At_q20.markdup.sorted.mapDamage	53.6557606531451	Arabidopsis thaliana
PL0224_mapped_At_q20.markdup.sorted.mapDamage	55.7057693205402	Arabidopsis thaliana
PL0127_mapped_At_q20.markdup.sorted.mapDamage	56.741720632538	Arabidopsis thaliana
PL0220_mapped_At_q20.markdup.sorted.mapDamage	58.8760635939962	Arabidopsis thaliana
PL0105_mapped_At_q20.markdup.sorted.mapDamage	59.1897216756967	Arabidopsis thaliana
PL0258_mapped_At_q20.markdup.sorted.mapDamage	59.1965373054527	Arabidopsis thaliana
HB0814_mapped_At_q20.markdup.sorted.mapDamage	60.2348201969242	Arabidopsis thaliana
PL0108_mapped_At_q20.markdup.sorted.mapDamage	61.4173812972165	Arabidopsis thaliana
PL0080_mapped_At_q20.markdup.sorted.mapDamage	64.3609452596223	Arabidopsis thaliana
PL0053_mapped_At_q20.markdup.sorted.mapDamage	64.3661458990686	Arabidopsis thaliana
PL0131_mapped_At_q20.markdup.sorted.mapDamage	67.5528818753884	Arabidopsis thaliana
HB0737_mapped_At_q20.markdup.sorted.mapDamage	67.6057842656619	Arabidopsis thaliana
PL0087_mapped_At_q20.markdup.sorted.mapDamage	68.0967733495722	Arabidopsis thaliana
HB0863_mapped_At_q20.markdup.sorted.mapDamage	70.4024849750822	Arabidopsis thaliana
PL0230_mapped_At_q20.markdup.sorted.mapDamage	71.3480439344859	Arabidopsis thaliana
PL0185_mapped_At_q20.markdup.sorted.mapDamage	72.3393005447719	Arabidopsis thaliana
PL0027_mapped_At_q20.markdup.sorted.mapDamage	72.3974525799133	Arabidopsis thaliana
HB0841_mapped_At_q20.markdup.sorted.mapDamage	73.2099013985201	Arabidopsis thaliana
PL0073_mapped_At_q20.markdup.sorted.mapDamage	74.4768279369026	Arabidopsis thaliana
PL0068_mapped_At_q20.markdup.sorted.mapDamage	74.8879598832286	Arabidopsis thaliana
HB0840_mapped_At_q20.markdup.sorted.mapDamage	75.2024288327793	Arabidopsis thaliana
