Sample	Species	MeanInsert
76.LTU_2009_S19	Arabidopsis	192.134
76.LTU_2009_S19	Pseudomonas	231.198
33.ESP_1985b	Arabidopsis	177.944
33.ESP_1985b	Pseudomonas	199.903
109.NOR_1990	Arabidopsis	226.348
109.NOR_1990	Pseudomonas	293.442
30.ESP_1983b	Arabidopsis	190.005
30.ESP_1983b	Pseudomonas	212.889
120.RUS_1860	Arabidopsis	211.565
120.RUS_1860	Pseudomonas	196.468
64.GBR_1933b_S36	Arabidopsis	171.63
64.GBR_1933b_S36	Pseudomonas	172.147
34.ESP_1985c_S36	Arabidopsis	198.342
34.ESP_1985c_S36	Pseudomonas	223.303
75.LTU_1894_S30	Arabidopsis	249.076
75.LTU_1894_S30	Pseudomonas	254.663
86.NOR_1911_S7	Arabidopsis	174.916
86.NOR_1911_S7	Pseudomonas	194.426
27.ESP_1975	Arabidopsis	260.31
27.ESP_1975	Pseudomonas	247.036
