Sample	CollapsedReads	R1Reads	CollapsedProp	MeanInsert_At	MeanInsert_Ps
109.NOR_1990	8694247	13341807	0	226.348	293.442
120.RUS_1860	4964695	9927626	0	211.565	196.468
27.ESP_1975	8036056	13879918	0	260.31	247.036
30.ESP_1983b	4152361	14010453	0	190.005	212.889
33.ESP_1985b	5032038	15822617	0	177.944	199.903
34.ESP_1985c_S36	2536286	9109787	0	198.342	223.303
64.GBR_1933b_S36	3290165	5872156	0	171.63	172.147
75.LTU_1894_S30	1406560	7625417	0	249.076	254.663
76.LTU_2009_S19	2205103	10812887	0	192.134	231.198
86.NOR_1911_S7	7342711	11964320	0	174.916	194.426
