sample	Ps_1stbaseCtoTfreq	At_1stbaseCtoTfreq	samplename	dates
109.NOR_1990	0.0150641451360994	0.0106375269923624	109.NOR_1990	1990
120.RUS_1860	0.0210267632176608	0.011929706044471	120.RUS_1860	1860
27.ESP_1975	0.0179481865284974	0.0223696145668857	27.ESP_1975	1975
30.ESP_1983b	0.013378275979201	0.0082008719113214	30.ESP_1983b	1983
33.ESP_1985b	0.0188398176115159	0.0146339087876501	33.ESP_1985b	1985
34.ESP_1985c_S36	0.0162191600467302	0.0102285868170513	34.ESP_1985c_S36	1985
64.GBR_1933b_S36	0.0234600406766834	0.0142439390721243	64.GBR_1933b_S36	1933
75.LTU_1894_S30	0.0124075706774611	0.00664275868491227	75.LTU_1894_S30	1894
76.LTU_2009_S19	0.0159244986278375	0.0101437024513948	76.LTU_2009_S19	2009
86.NOR_1911_S7	0.0140365942268314	0.010529737911656	86.NOR_1911_S7	1911
HB0737	0.0298246565997954	0.0254464550172932	HB0737	1937
HB0766	0.0192927180762384	0.016498096840378	HB0766	1846
HB0808	0.0147369431643625	0.0141950547685587	HB0808	1817
HB0814	0.0365420189634967	0.0303505796994974	HB0814	1882
HB0828	0.024203143590707	0.012757436587403	HB0828	1890
HB0840	0.0296336509481645	0.0277336890161292	HB0840	1851
HB0841	0.0300872425927083	0.029705721973132	HB0841	1875
HB0863	0.0283569426948094	0.023833178517349	HB0863	1954
PL0001	0.0205509281942403	0.0210463061673608	PL0001	1966
PL0026	0.0172498915336395	0.00955711260995787	PL0026	2002
PL0027	0.0174626783451771	0.0107759463114408	PL0027	1939
PL0042	0.013050617758702	0.00732157751136134	PL0042	1982
PL0046	0.0199379955161862	0.00887332457813785	PL0046	1974
PL0051	0.024141250647963	0.01192360973679	PL0051	1983
PL0053	0.0109253318432785	0.0062183801817626	PL0053	1987
PL0059	0.0187669609894043	0.0130939572911881	PL0059	1985
PL0065	0.0116625745352508	0.00401454793050995	PL0065	2015
PL0066	0.0133551503817983	0.00505320239705921	PL0066	2015
PL0068	0.0184112155896151	0.0117680870444851	PL0068	1986
PL0073	0.0263210546206345	0.0105546146847341	PL0073	1991
PL0080	0.0146710045016362	0.00607514552831187	PL0080	1985
PL0087	0.0166362715298886	0.00907585322097811	PL0087	NA
PL0102	0.0256594370457789	0.0280864722151792	PL0102	1888
PL0105	0.0192831117959648	0.0131993955495017	PL0105	1920
PL0108	0.0255525041367421	0.0104403491323286	PL0108	1946
PL0127	0.0195395538182947	0.0130067908812606	PL0127	1979
PL0131	0.0232763146165351	0.0115330187414648	PL0131	1980
PL0137	0.0197915512814058	0.0176316416487968	PL0137	1961
PL0139	0.0156275839259137	0.00732845424627929	PL0139	1996
PL0185	0.01714091218516	0.0106938467049099	PL0185	1994
PL0203	0.0283326426301975	0.0281277192437939	PL0203	1880
PL0210	0.0253664821934012	0.015558595074817	PL0210	1838
PL0220	0.0243644500005712	0.0221775676296445	PL0220	1946
PL0222	0.0212792659629356	0.0195768954621118	PL0222	1887
PL0224	0.023524059990049	0.0187617725444656	PL0224	1889
PL0230	0.0216168196624223	0.0140542437806237	PL0230	1851
PL0235	0.0290547668083824	0.0267804760834831	PL0235	1905
PL0240	0.021622559897165	0.0282168897163439	PL0240	1875
PL0258	0.0208885523160419	0.00820468274706955	PL0258	1913
