S0	p5_H11
S1	p7_G11
S2	p21_E3
S3	p22_A8
S4	p22_B5
S5	p4_E6
S6	p4_E5
S7	p5_C3
S8	p13_C1
S9	p8_E4
S10	p25_A12
S11	p8_H7
S12	p24_H2
S13	p13_F3
S14	p27_D6
S15	p23_B2
S16	p23_B8
S17	p26_E7
S18	p5_D5
S19	p8_B9
S20	p21_F1
S21	p23_A3
S22	p8_C7
S23	p3_F8
S24	p6_B9
S25	p22_D4
S26	p26_D6
S27	p3_G9
S28	p12_G7
S29	p25_C11
S30	p5_C1
S31	p22_D1
S32	p20_G9
S33	p20_F10
S34	p21_F9
S35	p21_A8
S36	p12_A11
S37	p20_D4
S38	p8_B3
S39	p25_B2
S40	p25_D2
S41	p4_A6
S42	p25_C2
S43	p3_F12
S44	ref
S45	p3_A3
S46	p12_E2
S47	p26_B7
S48	p1_G2
S49	p4_D2
S50	p27_F2
S51	p24_B5
S52	p22_C1
S53	p13_D10
