sample	cutoff
109.NOR_1990	15.2
120.RUS_1860	4.2
27.ESP_1975	2.5
30.ESP_1983b	2.5
33.ESP_1985b	18.7
34.ESP_1985c_S36	27.8
64.GBR_1933b_S36	4.4
75.LTU_1894_S30	4.1
76.LTU_2009_S19	43.9
86.NOR_1911_S7	2.4
HB0737	6.1
HB0766	6.8
HB0808	2.3
HB0814	4.3
HB0828	2.6
HB0840	2.4
HB0841	2.4
HB0863	2.9
PL0001	3.1
PL0026	2.3
PL0027	2.4
PL0042	54.3
PL0046	14.4
PL0051	9.5
PL0053	6.3
PL0059	63.4
PL0065	2.4
PL0066	2.6
PL0068	7.8
PL0073	2.7
PL0080	16.1
PL0087	2.3
PL0102	10.4
PL0105	2.2
PL0108	6.0
PL0127	5.3
PL0131	26.8
PL0137	10.4
PL0139	2.4
PL0185	2.9
PL0203	2.4
PL0210	5.2
PL0220	10.3
PL0222	2.2
PL0224	3.2
PL0230	2.4
PL0235	3.3
PL0240	5.3
PL0258	2.6
