sample	mean_minus_sd	mean_plus_sd
109.NOR_1990	8	22
120.RUS_1860	2	6
27.ESP_1975	2	3
30.ESP_1983b	2	3
33.ESP_1985b	10	28
34.ESP_1985c_S36	19	36
64.GBR_1933b_S36	2	7
75.LTU_1894_S30	2	6
76.LTU_2009_S19	30	57
86.NOR_1911_S7	2	3
HB0737	3	9
HB0766	4	10
HB0808	2	3
HB0814	2	6
HB0828	2	4
HB0840	2	3
HB0841	2	3
HB0863	1	4
PL0001	2	4
PL0026	2	3
PL0027	2	3
PL0042	30	79
PL0046	9	20
PL0051	6	13
PL0053	3	10
PL0059	18	108
PL0065	2	3
PL0066	1	4
PL0068	4	12
PL0073	2	4
PL0080	6	27
PL0087	2	3
PL0102	4	17
PL0105	2	3
PL0108	-2	14
PL0127	3	8
PL0131	10	44
PL0137	7	14
PL0139	2	3
PL0185	2	4
PL0203	2	3
PL0210	3	8
PL0220	6	14
PL0222	2	3
PL0224	2	5
PL0230	2	3
PL0235	2	5
PL0240	3	8
PL0258	2	4
