sample	mean_minus_0.5sd	mean_plus_0.5sd
109.NOR_1990	12	19
120.RUS_1860	3	5
27.ESP_1975	2	3
30.ESP_1983b	2	3
33.ESP_1985b	14	23
34.ESP_1985c_S36	23	32
64.GBR_1933b_S36	3	5
75.LTU_1894_S30	3	5
76.LTU_2009_S19	37	51
86.NOR_1911_S7	2	3
HB0737	5	8
HB0766	5	8
HB0808	2	3
HB0814	3	5
HB0828	2	3
HB0840	2	3
HB0841	2	3
HB0863	2	4
PL0001	3	4
PL0026	2	3
PL0027	2	3
PL0042	42	67
PL0046	12	17
PL0051	8	11
PL0053	5	8
PL0059	41	86
PL0065	2	3
PL0066	2	3
PL0068	6	10
PL0073	2	3
PL0080	11	21
PL0087	2	3
PL0102	7	14
PL0105	2	2
PL0108	1	10
PL0127	4	7
PL0131	18	35
PL0137	8	12
PL0139	2	3
PL0185	2	4
PL0203	2	3
PL0210	4	6
PL0220	8	12
PL0222	2	2
PL0224	3	4
PL0230	2	3
PL0235	3	4
PL0240	4	7
PL0258	2	3
