sample	cutoff
p12.A11	23
p12.E2	24
p12.F2	28
p12.G7	17
p13.C1	31
p13.C7	19
p13.D10	29
p13.F3	36
p1.G2	31
p20.D4	16
p20.F10	17
p20.G9	16
p21.A8	22
p21.E3	23
p21.F1	26
p21.F9	23
p22.A8	24
p22.B5	21
p22.C1	25
p22.D1	8
p22.D4	6
p23.A3	27
p23.B2	27
p23.B8	17
p24.B5	17
p24.H2	21
p25.A12	7
p25.B2	7
p25.C11	6
p25.C2	24
p25.D2	8
p26.B7	14
p26.D6	8
p26.E7	19
p27.D6	33
p27.F2	20
p3.A3	9
p3.F12	30
p3.F8	12
p3.G9	26
p4.A6	8
p4.D2	28
p4.E5	7
p4.E6	19
p5.C1	35
p5.C3	32
p5.D5	29
p5.H11	17
p6.A10	42
p6.B9	31
p7.G11	39
p8.B3	34
p8.B9	28
p8.C7	30
p8.E4	26
p8.H7	24
p9.C4	26
