sample	cutoff
109.NOR_1990	15.1
120.RUS_1860	4.1
27.ESP_1975	2.4
30.ESP_1983b	2.5
33.ESP_1985b	18.6
34.ESP_1985c_S36	27.7
64.GBR_1933b_S36	4.4
75.LTU_1894_S30	4.1
76.LTU_2009_S19	43.8
86.NOR_1911_S7	2.4
HB0737	6.0
HB0766	6.8
HB0808	2.3
HB0814	4.3
HB0828	2.5
HB0840	2.4
HB0841	2.3
HB0863	2.7
p12.A11_dump_20p	22.6
p12.E2_dump_20p	24.2
p12.F2_dump_20p	28.2
p12.G7_dump_20p	17.3
p13.C1_dump_20p	30.8
p13.C7_dump_20p	18.9
p13.D10_dump_20p	29.2
p13.F3_dump_20p	36.2
p1.G2_dump_20p	30.8
p20.D4_dump_20p	16.3
p20.F10_dump_20p	16.9
p20.G9_dump_20p	16.2
p21.A8_dump_20p	22.0
p21.E3_dump_20p	23.4
p21.F1_dump_20p	25.5
p21.F9_dump_20p	22.5
p22.A8_dump_20p	24.0
p22.B5_dump_20p	20.8
p22.C1_dump_20p	25.0
p22.D1_dump_20p	7.8
p22.D4_dump_20p	5.8
p23.A3_dump_20p	27.4
p23.B2_dump_20p	26.5
p23.B8_dump_20p	17.0
p24.B5_dump_20p	17.0
p24.H2_dump_20p	21.0
p25.A12_dump_20p	7.3
p25.B2_dump_20p	7.4
p25.C11_dump_20p	6.4
p25.C2_dump_20p	24.2
p25.D2_dump_20p	8.2
p26.B7_dump_20p	13.8
p26.D6_dump_20p	8.3
p26.E7_dump_20p	18.8
p27.D6_dump_20p	33.1
p27.F2_dump_20p	20.2
p3.A3_dump_20p	8.5
p3.F12_dump_20p	30.0
p3.F8_dump_20p	12.1
p3.G9_dump_20p	26.1
p4.A6_dump_20p	8.0
p4.D2_dump_20p	27.8
p4.E5_dump_20p	7.4
p4.E6_dump_20p	19.4
p5.C1_dump_20p	35.0
p5.C3_dump_20p	32.0
p5.D5_dump_20p	28.7
p5.H11_dump_20p	17.2
p6.A10_dump_20p	41.9
p6.B9_dump_20p	31.2
p7.G11_dump_20p	39.3
p8.B3_dump_20p	33.7
p8.B9_dump_20p	27.8
p8.C7_dump_20p	30.2
p8.E4_dump_20p	26.3
p8.H7_dump_20p	23.5
p9.C4_dump_20p	25.9
PL0001	3.1
PL0026	2.3
PL0027	2.3
PL0042	54.2
PL0046	14.3
PL0051	9.5
PL0053	6.3
PL0059	63.4
PL0065	2.4
PL0066	2.5
PL0068	7.8
PL0073	2.6
PL0080	16.1
PL0087	2.2
PL0102	10.3
PL0105	2.2
PL0108	5.6
PL0127	5.2
PL0131	26.8
PL0137	10.4
PL0139	2.4
PL0185	2.9
PL0203	2.3
PL0210	5.2
PL0220	10.3
PL0222	2.2
PL0224	3.2
PL0230	2.4
PL0235	3.3
PL0240	5.3
PL0258	2.5
