Iteration	Plus_Modern	Minus_Modern	Binomial_p	Fisher_p
1	5	3	0.7265625	0.314685314685315
2	8	0	0.0078125	0.00699300699300699
3	7	1	0.0703125	0.0405594405594406
4	6	2	0.2890625	0.131934731934732
5	8	0	0.0078125	0.00699300699300699
6	8	0	0.0078125	0.00699300699300699
7	5	3	0.7265625	0.314685314685315
8	8	0	0.0078125	0.00699300699300699
9	7	1	0.0703125	0.0405594405594406
10	6	2	0.2890625	0.131934731934732
11	8	0	0.0078125	0.00699300699300699
12	5	3	0.7265625	0.314685314685315
13	7	1	0.0703125	0.0405594405594406
14	5	3	0.7265625	0.314685314685315
15	8	0	0.0078125	0.00699300699300699
16	6	2	0.2890625	0.131934731934732
17	6	2	0.2890625	0.131934731934732
18	6	2	0.2890625	0.131934731934732
19	7	1	0.0703125	0.0405594405594406
20	5	3	0.7265625	0.314685314685315
21	6	2	0.2890625	0.131934731934732
22	6	2	0.2890625	0.131934731934732
23	7	1	0.0703125	0.0405594405594406
24	5	3	0.7265625	0.314685314685315
25	6	2	0.2890625	0.131934731934732
26	7	1	0.0703125	0.0405594405594406
27	6	2	0.2890625	0.131934731934732
28	5	3	0.7265625	0.314685314685315
29	7	1	0.0703125	0.0405594405594406
30	6	2	0.2890625	0.131934731934732
31	6	2	0.2890625	0.131934731934732
32	4	4	1	0.608391608391609
33	8	0	0.0078125	0.00699300699300699
34	7	1	0.0703125	0.0405594405594406
35	6	2	0.2890625	0.131934731934732
36	6	2	0.2890625	0.131934731934732
37	7	1	0.0703125	0.0405594405594406
38	7	1	0.0703125	0.0405594405594406
39	7	1	0.0703125	0.0405594405594406
40	5	3	0.7265625	0.314685314685315
41	8	0	0.0078125	0.00699300699300699
42	7	1	0.0703125	0.0405594405594406
43	5	3	0.7265625	0.314685314685315
44	8	0	0.0078125	0.00699300699300699
45	8	0	0.0078125	0.00699300699300699
46	8	0	0.0078125	0.00699300699300699
47	7	1	0.0703125	0.0405594405594406
48	7	1	0.0703125	0.0405594405594406
49	7	1	0.0703125	0.0405594405594406
50	7	1	0.0703125	0.0405594405594406
51	7	1	0.0703125	0.0405594405594406
52	8	0	0.0078125	0.00699300699300699
53	5	3	0.7265625	0.314685314685315
54	8	0	0.0078125	0.00699300699300699
55	8	0	0.0078125	0.00699300699300699
56	4	4	1	0.608391608391609
57	7	1	0.0703125	0.0405594405594406
58	6	2	0.2890625	0.131934731934732
59	7	1	0.0703125	0.0405594405594406
60	7	1	0.0703125	0.0405594405594406
61	6	2	0.2890625	0.131934731934732
62	8	0	0.0078125	0.00699300699300699
63	8	0	0.0078125	0.00699300699300699
64	8	0	0.0078125	0.00699300699300699
65	8	0	0.0078125	0.00699300699300699
66	7	1	0.0703125	0.0405594405594406
67	6	2	0.2890625	0.131934731934732
68	8	0	0.0078125	0.00699300699300699
69	8	0	0.0078125	0.00699300699300699
70	7	1	0.0703125	0.0405594405594406
71	7	1	0.0703125	0.0405594405594406
72	8	0	0.0078125	0.00699300699300699
73	6	2	0.2890625	0.131934731934732
74	5	3	0.7265625	0.314685314685315
75	6	2	0.2890625	0.131934731934732
76	8	0	0.0078125	0.00699300699300699
77	7	1	0.0703125	0.0405594405594406
78	7	1	0.0703125	0.0405594405594406
79	8	0	0.0078125	0.00699300699300699
80	6	2	0.2890625	0.131934731934732
81	8	0	0.0078125	0.00699300699300699
82	8	0	0.0078125	0.00699300699300699
83	8	0	0.0078125	0.00699300699300699
84	5	3	0.7265625	0.314685314685315
85	4	4	1	0.608391608391609
86	7	1	0.0703125	0.0405594405594406
87	7	1	0.0703125	0.0405594405594406
88	6	2	0.2890625	0.131934731934732
89	8	0	0.0078125	0.00699300699300699
90	7	1	0.0703125	0.0405594405594406
91	7	1	0.0703125	0.0405594405594406
92	6	2	0.2890625	0.131934731934732
93	8	0	0.0078125	0.00699300699300699
94	5	3	0.7265625	0.314685314685315
95	7	1	0.0703125	0.0405594405594406
96	8	0	0.0078125	0.00699300699300699
97	7	1	0.0703125	0.0405594405594406
98	8	0	0.0078125	0.00699300699300699
99	7	1	0.0703125	0.0405594405594406
100	7	1	0.0703125	0.0405594405594406
101	8	0	0.0078125	0.00699300699300699
102	6	2	0.2890625	0.131934731934732
103	7	1	0.0703125	0.0405594405594406
104	7	1	0.0703125	0.0405594405594406
105	6	2	0.2890625	0.131934731934732
106	6	2	0.2890625	0.131934731934732
107	7	1	0.0703125	0.0405594405594406
108	6	2	0.2890625	0.131934731934732
109	6	2	0.2890625	0.131934731934732
110	7	1	0.0703125	0.0405594405594406
111	8	0	0.0078125	0.00699300699300699
112	5	3	0.7265625	0.314685314685315
113	7	1	0.0703125	0.0405594405594406
114	8	0	0.0078125	0.00699300699300699
115	6	2	0.2890625	0.131934731934732
116	8	0	0.0078125	0.00699300699300699
117	7	1	0.0703125	0.0405594405594406
118	8	0	0.0078125	0.00699300699300699
119	7	1	0.0703125	0.0405594405594406
120	7	1	0.0703125	0.0405594405594406
121	5	3	0.7265625	0.314685314685315
122	7	1	0.0703125	0.0405594405594406
123	7	1	0.0703125	0.0405594405594406
124	7	1	0.0703125	0.0405594405594406
125	7	1	0.0703125	0.0405594405594406
126	8	0	0.0078125	0.00699300699300699
127	7	1	0.0703125	0.0405594405594406
128	8	0	0.0078125	0.00699300699300699
129	6	2	0.2890625	0.131934731934732
130	5	3	0.7265625	0.314685314685315
131	5	3	0.7265625	0.314685314685315
132	5	3	0.7265625	0.314685314685315
133	5	3	0.7265625	0.314685314685315
134	8	0	0.0078125	0.00699300699300699
135	8	0	0.0078125	0.00699300699300699
136	8	0	0.0078125	0.00699300699300699
137	6	2	0.2890625	0.131934731934732
138	6	2	0.2890625	0.131934731934732
139	7	1	0.0703125	0.0405594405594406
140	5	3	0.7265625	0.314685314685315
141	6	2	0.2890625	0.131934731934732
142	7	1	0.0703125	0.0405594405594406
143	7	1	0.0703125	0.0405594405594406
144	6	2	0.2890625	0.131934731934732
145	7	1	0.0703125	0.0405594405594406
146	8	0	0.0078125	0.00699300699300699
147	8	0	0.0078125	0.00699300699300699
148	4	4	1	0.608391608391609
149	6	2	0.2890625	0.131934731934732
150	7	1	0.0703125	0.0405594405594406
151	7	1	0.0703125	0.0405594405594406
152	5	3	0.7265625	0.314685314685315
153	7	1	0.0703125	0.0405594405594406
154	8	0	0.0078125	0.00699300699300699
155	7	1	0.0703125	0.0405594405594406
156	7	1	0.0703125	0.0405594405594406
