"country","IsolateType","Oantigen","Proportion","Lower","Upper","x2line"
"Germany","Historical","O-antigen+",5.26315789473684,1.45542081472924,17.2854621317704,"Historical
Germany"
"Germany","Historical","O-antigen-",15.7894736842105,7.44386341515893,30.4168117792231,"Historical
Germany"
"Spain","Historical","O-antigen+",21.0526315789474,11.0747918429959,36.3457794753274,"Historical
Spain"
"Spain","Historical","O-antigen-",15.7894736842105,7.44386341515893,30.4168117792231,"Historical
Spain"
"Sweden","Historical","O-antigen+",7.89473684210526,2.72145955069877,20.7993714577714,"Historical
Sweden"
"UK","Historical","O-antigen+",7.89473684210526,2.72145955069877,20.7993714577714,"Historical
UK"
"UK","Historical","O-antigen-",10.5263157894737,4.17025734755352,24.1305217228873,"Historical
UK"
"Spain","Modern","O-antigen+",30.8552631578947,26.1772853185596,34.9030470914127,"Modern
Spain"
"Spain","Modern","O-antigen-",5.98684210526316,1.93905817174515,10.6648199445983,"Modern
Spain"
"Germany","Modern","O-antigen+",17.6315789473684,14.9584487534626,19.9445983379501,"Modern
Germany"
"Germany","Modern","O-antigen-",3.42105263157895,1.10803324099723,6.09418282548476,"Modern
Germany"
"UK","Modern","O-antigen+",15.4276315789474,13.0886426592798,17.4515235457064,"Modern
UK"
"UK","Modern","O-antigen-",2.99342105263158,0.969529085872576,5.33240997229917,"Modern
UK"
"Sweden","Modern","O-antigen+",6.61184210526316,5.60941828254848,7.4792243767313,"Modern
Sweden"
"Sweden","Modern","O-antigen-",1.28289473684211,0.415512465373961,2.28531855955679,"Modern
Sweden"
