"country","IsolateType","Oantigen","Proportion","Lower","Upper","xlab"
"Germany","Historical","O-antigen+",25,7.1479212752109,59.0724569689831,"Germany
H"
"Germany","Historical","O-antigen-",75,40.9275430310169,92.8520787247891,"Germany
H"
"Spain","Historical","O-antigen+",57.1428571428571,32.5906445796507,78.6192010955259,"Spain
H"
"Spain","Historical","O-antigen-",42.8571428571429,21.3807989044741,67.4093554203492,"Spain
H"
"Sweden","Historical","O-antigen+",100,43.8502968244955,100,"Sweden
H"
"UK","Historical","O-antigen+",42.8571428571429,15.821985525147,74.9541635472343,"UK
H"
"UK","Historical","O-antigen-",57.1428571428571,25.0458364527657,84.178014474853,"UK
H"
"Germany","Modern","O-antigen+",71.45,37.5,100,"Germany
M"
"Germany","Modern","O-antigen-",28.55,0,62.5,"Germany
M"
"Spain","Modern","O-antigen+",70.6928571428571,42.8571428571429,92.8571428571429,"Spain
M"
"Spain","Modern","O-antigen-",29.3071428571429,7.14285714285714,57.1428571428571,"Spain
M"
"Sweden","Modern","O-antigen+",70.0666666666667,0,100,"Sweden
M"
"Sweden","Modern","O-antigen-",29.9333333333333,0,100,"Sweden
M"
"UK","Modern","O-antigen+",70.4428571428571,28.5714285714286,100,"UK
M"
"UK","Modern","O-antigen-",29.5571428571429,0,71.4285714285714,"UK
M"
