Run	Plus_Modern	Minus_Modern	Binomial_p
1	5	3	0.7265625
2	6	2	0.2890625
3	6	2	0.2890625
4	8	0	0.0078125
5	7	1	0.0703125
6	7	1	0.0703125
7	6	2	0.2890625
8	7	1	0.0703125
9	8	0	0.0078125
10	8	0	0.0078125
11	7	1	0.0703125
12	7	1	0.0703125
13	7	1	0.0703125
14	6	2	0.2890625
15	7	1	0.0703125
16	6	2	0.2890625
17	6	2	0.2890625
18	6	2	0.2890625
19	7	1	0.0703125
20	7	1	0.0703125
21	7	1	0.0703125
22	4	4	1
23	6	2	0.2890625
24	7	1	0.0703125
25	6	2	0.2890625
26	8	0	0.0078125
27	7	1	0.0703125
28	8	0	0.0078125
29	5	3	0.7265625
30	8	0	0.0078125
31	6	2	0.2890625
32	8	0	0.0078125
33	7	1	0.0703125
34	6	2	0.2890625
35	6	2	0.2890625
36	6	2	0.2890625
37	5	3	0.7265625
38	7	1	0.0703125
39	8	0	0.0078125
40	7	1	0.0703125
41	4	4	1
42	8	0	0.0078125
43	7	1	0.0703125
44	6	2	0.2890625
45	7	1	0.0703125
46	7	1	0.0703125
47	6	2	0.2890625
48	7	1	0.0703125
49	7	1	0.0703125
50	6	2	0.2890625
51	7	1	0.0703125
52	6	2	0.2890625
53	6	2	0.2890625
54	8	0	0.0078125
55	5	3	0.7265625
56	6	2	0.2890625
57	8	0	0.0078125
58	7	1	0.0703125
59	7	1	0.0703125
60	7	1	0.0703125
61	8	0	0.0078125
62	6	2	0.2890625
63	7	1	0.0703125
64	8	0	0.0078125
65	7	1	0.0703125
66	6	2	0.2890625
67	7	1	0.0703125
68	6	2	0.2890625
69	8	0	0.0078125
70	8	0	0.0078125
71	7	1	0.0703125
72	6	2	0.2890625
73	7	1	0.0703125
74	7	1	0.0703125
75	7	1	0.0703125
76	6	2	0.2890625
77	7	1	0.0703125
78	7	1	0.0703125
79	7	1	0.0703125
80	5	3	0.7265625
81	8	0	0.0078125
82	7	1	0.0703125
83	8	0	0.0078125
84	8	0	0.0078125
85	7	1	0.0703125
86	8	0	0.0078125
87	5	3	0.7265625
88	7	1	0.0703125
89	8	0	0.0078125
90	5	3	0.7265625
91	6	2	0.2890625
92	8	0	0.0078125
93	7	1	0.0703125
94	7	1	0.0703125
95	6	2	0.2890625
96	3	5	0.7265625
97	6	2	0.2890625
98	7	1	0.0703125
99	6	2	0.2890625
100	8	0	0.0078125
101	8	0	0.0078125
102	6	2	0.2890625
103	7	1	0.0703125
104	6	2	0.2890625
105	7	1	0.0703125
106	6	2	0.2890625
107	6	2	0.2890625
108	4	4	1
109	8	0	0.0078125
110	7	1	0.0703125
111	8	0	0.0078125
112	7	1	0.0703125
113	7	1	0.0703125
114	8	0	0.0078125
