Country	IsolateType	Oantigen	TotalN	Frequency	Proportion	Lower	Upper	CountLower	CountUpper
Germany	Historical	O-antigen+	8	2	25	7.1479212752109	59.0724569689831	NA	NA
Germany	Historical	O-antigen-	8	6	75	40.9275430310169	92.8520787247891	NA	NA
Germany	Modern	O-antigen+	8	6.685	83.5625	50	100	4	8
Germany	Modern	O-antigen-	8	1.315	16.4375	0	50	0	4
Spain	Historical	O-antigen+	14	8	57.1428571428571	32.5906445796507	78.6192010955259	NA	NA
Spain	Historical	O-antigen-	14	6	42.8571428571429	21.3807989044741	67.4093554203492	NA	NA
Spain	Modern	O-antigen+	14	11.693	83.5214285714286	64.2857142857143	100	9	14
Spain	Modern	O-antigen-	14	2.307	16.4785714285714	0	35.7142857142857	0	5
UK	Historical	O-antigen+	7	3	42.8571428571429	15.821985525147	74.9541635472343	NA	NA
UK	Historical	O-antigen-	7	4	57.1428571428571	25.0458364527657	84.178014474853	NA	NA
UK	Modern	O-antigen+	7	5.879	83.9857142857143	57.1428571428571	100	4	7
UK	Modern	O-antigen-	7	1.121	16.0142857142857	0	42.8571428571429	0	3
