sample	mean_minus_sd	mean_plus_sd
109.NOR_1990	7.5	22.9
120.RUS_1860	2.0	6.3
27.ESP_1975	1.7	3.2
30.ESP_1983b	1.3	3.7
33.ESP_1985b	9.5	27.9
34.ESP_1985c_S36	18.3	37.3
64.GBR_1933b_S36	2.1	6.7
75.LTU_1894_S30	1.9	6.3
76.LTU_2009_S19	29.1	58.8
86.NOR_1911_S7	1.6	3.2
HB0737	2.9	9.3
HB0766	3.3	10.3
HB0808	1.6	3.0
HB0814	2.0	6.5
HB0828	0.9	4.4
HB0840	1.5	3.4
HB0841	1.5	3.2
HB0863	-0.5	6.2
PL0001	1.9	4.4
PL0026	1.7	3.0
PL0027	1.7	3.1
PL0042	29.5	79.1
PL0046	8.5	20.2
PL0051	5.8	13.3
PL0053	2.6	10.0
PL0059	18.4	108.5
PL0065	1.6	3.2
PL0066	0.5	4.8
PL0068	3.5	12.2
PL0073	1.7	3.6
PL0080	5.6	26.7
PL0087	1.4	3.1
PL0102	3.8	17.0
PL0105	1.7	2.7
PL0108	-5.0	16.9
PL0127	2.3	8.2
PL0131	9.8	43.8
PL0137	6.4	14.4
PL0139	1.6	3.3
PL0185	1.6	4.2
PL0203	1.3	3.4
PL0210	2.9	7.5
PL0220	6.2	14.5
PL0222	1.6	2.7
PL0224	1.7	4.7
PL0230	1.7	3.2
PL0235	1.8	4.9
PL0240	2.8	7.8
PL0258	1.1	4.1
