sample	mean_minus_0.5sd	mean_plus_0.5sd
109.NOR_1990	11.3	19.0
120.RUS_1860	3.1	5.2
27.ESP_1975	2.1	2.9
30.ESP_1983b	1.9	3.1
33.ESP_1985b	14.1	23.3
34.ESP_1985c_S36	23.0	32.6
64.GBR_1933b_S36	3.2	5.5
75.LTU_1894_S30	3.0	5.2
76.LTU_2009_S19	36.5	51.4
86.NOR_1911_S7	2.0	2.8
HB0737	4.5	7.7
HB0766	5.0	8.6
HB0808	2.0	2.7
HB0814	3.2	5.4
HB0828	1.8	3.5
HB0840	2.0	2.9
HB0841	2.0	2.8
HB0863	1.2	4.5
PL0001	2.5	3.8
PL0026	2.0	2.7
PL0027	2.0	2.7
PL0042	41.9	66.7
PL0046	11.5	17.3
PL0051	7.7	11.4
PL0053	4.4	8.2
PL0059	40.9	86.0
PL0065	2.0	2.8
PL0066	1.6	3.7
PL0068	5.6	10.0
PL0073	2.2	3.2
PL0080	10.9	21.4
PL0087	1.8	2.7
PL0102	7.1	13.7
PL0105	1.9	2.4
PL0108	0.5	11.4
PL0127	3.8	6.7
PL0131	18.3	35.3
PL0137	8.4	12.4
PL0139	2.0	2.9
PL0185	2.3	3.6
PL0203	1.8	2.9
PL0210	4.1	6.4
PL0220	8.3	12.4
PL0222	1.9	2.5
PL0224	2.5	4.0
PL0230	2.0	2.8
PL0235	2.6	4.1
PL0240	4.1	6.6
PL0258	1.8	3.4
