sample	cutoff
p12.A11	22.6
p12.E2	24.2
p12.F2	28.2
p12.G7	17.3
p13.C1	30.8
p13.C7	18.9
p13.D10	29.2
p13.F3	36.2
p1.G2	30.8
p20.D4	16.3
p20.F10	16.9
p20.G9	16.2
p21.A8	22.0
p21.E3	23.4
p21.F1	25.5
p21.F9	22.5
p22.A8	24.0
p22.B5	20.8
p22.C1	25.0
p22.D1	7.8
p22.D4	5.8
p23.A3	27.4
p23.B2	26.5
p23.B8	17.0
p24.B5	17.0
p24.H2	21.0
p25.A12	7.3
p25.B2	7.4
p25.C11	6.4
p25.C2	24.2
p25.D2	8.2
p26.B7	13.8
p26.D6	8.3
p26.E7	18.8
p27.D6	33.1
p27.F2	20.2
p3.A3	8.5
p3.F12	30.0
p3.F8	12.1
p3.G9	26.1
p4.A6	8.0
p4.D2	27.8
p4.E5	7.4
p4.E6	19.4
p5.C1	35.0
p5.C3	32.0
p5.D5	28.7
p5.H11	17.2
p6.A10	41.9
p6.B9	31.2
p7.G11	39.3
p8.B3	33.7
p8.B9	27.8
p8.C7	30.2
p8.E4	26.3
p8.H7	23.5
p9.C4	25.9
