Sample	Mean_total_depth	SD_total_depth	Mean_minus_025SD	relative_threshold
PL0131	53.074461	25.011813	46.821508	0.882185
PL0139	1.520209	1.419777	1.165265	0.766516
PL0185	2.700859	2.083126	2.180077	0.807179
PL0203	1.679077	1.654032	1.265569	0.753729
PL0210	10.365481	5.991154	8.867692	0.855502
PL0220	18.439214	9.269502	16.121839	0.874324
PL0222	1.230701	1.261659	0.915287	0.743711
PL0224	7.007198	3.893987	6.033701	0.861072
PL0230	2.013605	1.665626	1.597199	0.793203
PL0235	8.556415	4.756622	7.367259	0.861022
PL0105	1.181496	1.204201	0.880446	0.745196
PL0240	7.383400	4.798692	6.183727	0.837518
PL0258	2.748847	2.426610	2.142194	0.779307
PL0027	1.267687	1.264365	0.951596	0.750655
PL0042	76.145504	31.513362	68.267163	0.896536
PL0046	19.517674	10.507001	16.890924	0.865417
PL0051	18.435636	9.415825	16.081680	0.872315
PL0053	11.724100	5.585647	10.327688	0.880894
PL0065	1.354070	1.297875	1.029602	0.760375
PL0066	1.610017	1.857007	1.145765	0.711648
PL0068	12.574917	6.740095	10.889894	0.866001
PL0087	1.131939	1.198784	0.832243	0.735237
PL0080	29.675838	14.716306	25.996762	0.876025
PL0127	8.629263	4.781483	7.433892	0.861475
PL0137	16.667729	8.411671	14.564811	0.873833
109.NOR_1990	26.843169	11.536486	23.959048	0.892557
120.RUS_1860	5.593500	3.406230	4.741943	0.847759
27.ESP_1975	1.712394	1.492351	1.339306	0.782125
30.ESP_1983b	1.741186	1.536393	1.357087	0.779404
33.ESP_1985b	31.612695	13.736471	28.178578	0.891369
34.ESP_1985c_S36	41.239662	18.533874	36.606194	0.887645
64.GBR_1933b_S36	5.513409	3.717223	4.584104	0.831446
HB0808	1.055260	1.145248	0.768948	0.728681
75.LTU_1894_S30	6.433104	3.736502	5.498979	0.854794
76.LTU_2009_S19	65.744418	29.210948	58.441681	0.888922
86.NOR_1911_S7	1.351192	1.311526	1.023310	0.757339
HB0737	9.499704	5.666840	8.082994	0.850868
HB0766	8.161191	5.051185	6.898395	0.845268
HB0814	8.976301	4.830613	7.768648	0.865462
HB0828	1.743350	1.651728	1.330418	0.763139
HB0840	1.780700	1.557721	1.391270	0.781305
HB0841	1.595349	1.459546	1.230462	0.771281
HB0863	1.487995	2.159364	0.948154	0.637202
PL0001	4.584637	2.691913	3.911659	0.853210
PL0026	1.581401	1.446932	1.219668	0.771258
