Gene	109.NOR_1990	120.RUS_1860	27.ESP_1975	30.ESP_1983b	33.ESP_1985b	34.ESP_1985c_S36	64.GBR_1933b_S36	75.LTU_1894_S30	76.LTU_2009_S19	86.NOR_1911_S7	HB0737	HB0766	HB0808	HB0814	HB0828	HB0840	HB0841	HB0863	p12.A11	p12.E2	p12.F2	p12.G7	p13.C1	p13.C7	p13.D10	p13.F3	p1.G2	p20.D4	p20.F10	p20.G9	p21.A8	p21.E3	p21.F1	p21.F9	p22.A8	p22.B5	p22.C1	p22.D1	p22.D4	p23.A3	p23.B2	p23.B8	p24.B5	p24.H2	p25.A12	p25.B2	p25.C11	p25.C2	p25.D2	p26.B7	p26.D6	p26.E7	p27.D6	p27.F2	p3.A3	p3.F12	p3.F8	p3.G9	p4.A6	p4.D2	p4.E5	p4.E6	p5.C1	p5.C3	p5.D5	p5.H11	p6.A10	p6.B9	p7.G11	p8.B3	p8.B9	p8.C7	p8.E4	p8.H7	p9.C4	PL0001	PL0026	PL0027	PL0042	PL0046	PL0051	PL0053	PL0059	PL0065	PL0066	PL0068	PL0073	PL0080	PL0087	PL0102	PL0105	PL0108	PL0127	PL0131	PL0137	PL0139	PL0185	PL0203	PL0210	PL0220	PL0222	PL0224	PL0230	PL0235	PL0240	PL0258
WfgD_depth	1.04323	0.759859	1.0327	0.411704	1.21185	1.05523	0	0.349625	1.04368	1.49745	1.36531	1.55076	0.351223	0.454406	0.461307	0.155697	0.210389	0.690316	1.10743	1.74319	1.35041	0.198343	1.75072	1.4662	0.177284	0.0038764	0.189693	1.47834	1.38225	1.18068	1.46396	1.83964	1.11642	1.35141	1.7729	2.15175	0.234681	1.76698	1.34477	0.000700055	0.857561	1.48022	0.278722	0	0.904232	1.14063	1.69323	1.44868	1.72327	1.34152	1.55692	1.55059	1.33219	0.206581	1.37923	1.39541	0.963626	0.176381	1.10199	0.215154	1.84134	1.62145	1.62767	1.6183	1.22768	0	1.62511	1.94005	0.011917	1.27714	1.33263	1.67745	1.03164	0.0139915	0.187906	1.30722	1.15197	0.930503	0.138252	1.06322	0.242723	0.837598	1.15602	0.619157	1.35261	0.958745	0.00769588	0.15424	1.54988	0.235111	0.697036	0.201537	0.0780716	1.13096	1.40684	1.22271	0.269336	0.252849	0.0318903	0.217478	0.314628	0.775824	0.977583	0.94544	0	0.83897
rmlC_1_depth	1.18973	1.3179	0.822583	0.140199	1.26971	1.25057	0	0.25801	1.28966	0.984642	1.817	1.54339	0	0.368862	1.07479	0.20352	0.590927	0.71873	1.27189	1.45869	1.25903	0	1.64895	1.62133	0.00684427	0.00376353	0.0180133	1.37458	1.36318	1.40178	1.19518	1.48945	1.54761	1.27482	1.61172	1.76805	0.0151839	1.49359	1.08851	0	0	1.37519	0	0	0	1.04034	1.05165	1.14686	1.08185	1.56695	0.981521	1.41444	1.75544	0	1.33079	1.17664	1.68702	0	1.26894	0	1.73703	1.74459	1.45683	1.71746	1.77568	0	1.40927	1.69049	0	1.16006	1.45513	1.25817	0.0157499	0	0	1.29668	0.729623	1.61618	0	1.41563	0.0227672	0.840881	1.25031	0.544772	0.491941	1.00551	0	0.158563	1.25764	0.0870344	1.13592	0.100766	0.111708	1.31872	1.31457	0.920191	0	0.361121	0.0103381	0	0.201576	0.993155	0.627627	1.1717	0	0.816891
tagG_1_depth	1.1568	1.17085	1.25519	0.0739602	1.38352	0.953901	0	0.15253	1.382	1.30123	1.46124	1.33967	0.218232	0.242969	0.399888	0.267743	0.303242	0.970385	0.579215	1.63953	1.05293	0.00159089	1.19818	1.42755	0.00585502	0.00455543	0.0179542	1.27841	0.642156	0.643678	0.538558	1.17976	1.50023	0.636001	1.09924	1.59428	0	1.69802	2.20859	0	0	1.6303	0	0	0	1.60771	1.86295	1.47838	1.40851	1.67755	1.81317	1.83501	1.05821	0	0.924343	1.60729	1.97309	0	1.20603	0	1.54822	1.22423	1.46486	1.1029	1.5787	0	1.48807	2.24936	0.00235625	1.45837	1.85976	1.54388	0.00562868	0	0.00974719	1.11674	1.0618	1.07327	0.00031515	0.949576	0.0170929	0.792863	1.19076	1.02399	0.832495	1.00716	0	0.192654	0.960034	0.0889773	1.21101	0.163618	0.0787859	1.11303	1.20983	0.728465	0.127351	0.0655211	0.0131721	0	0.184346	0.969739	0.54906	0.842286	0	0.9331
tagH_1_depth	1.14648	1.56862	0.940991	0.0331596	1.23217	1.19939	0	0.120589	1.27342	1.10273	1.43655	1.56138	0	0.228572	0.622441	0.17135	0.355808	0.6972	1.39453	1.64728	1.02124	0	1.74394	1.75868	0.00629663	0.00437528	0.0260367	1.35787	1.46447	1.35625	1.45392	1.65251	1.54916	1.39026	1.86271	1.71359	0	1.10196	1.83094	0	0	1.35803	0	0	0	1.17352	1.17589	1.22295	1.08981	1.719	1.4994	1.5616	1.64359	0	1.24495	1.211	1.80134	0.00588225	0.87756	0	1.88622	1.67584	0.993755	1.67489	1.54085	0	1.54723	1.84355	0.00483534	1.05935	1.70333	1.78063	0.0102645	0.00451487	0.0132396	0.974208	1.12878	1.18364	0	1.42003	0.0118012	0.725017	1.19493	1.1154	0.81097	1.11876	0.0851432	0.15642	1.20519	0.0787537	1.00036	0.182928	0.0578268	1.22967	1.20863	1.39876	0.0877496	0.20511	0.0223092	0	0.315355	0.964138	0.560575	0.93158	0.0039202	0.920001
epsE_2_depth	0.395095	0.441494	0.231476	0.0637863	0.540854	0.450929	0.00824771	0.0745189	0.416055	0.493412	0.604491	0.548918	0.0145471	0.0352798	0.20671	0.129078	0.206405	0.00279421	0.431191	1.51741	0.00111677	0.00959527	0.57315	0.535865	0.00178749	0.00175854	0.00156334	1.1895	0.505601	0.522452	0.463157	0.620614	0.544106	0.498087	0.607306	0.59998	0	0	0.56925	5.32935e-05	0	0.562516	0.0047351	0.00426727	0.00914016	1.09661	0	1.15109	1.15309	1.2179	0.463272	0.527457	0.499887	0	1.28907	1.24419	0.62809	0	1.40754	0	0.541301	0.574805	0.00233891	0.563854	0.534772	0.00307915	1.36515	0.613885	0	1.13528	0.496094	0.505787	0.00185628	0.00353568	0.00309793	0.00860141	0.455857	0.435812	0.000148663	0.471442	0.00557422	0.00335639	0.506453	0.845177	0.145678	0.512738	0.0134056	0.0112418	0.497627	0.0124282	0.512393	0.073495	0.0050828	0.489924	0.547398	0.425905	0.0329568	0.0912427	0.0129226	0.00135921	0.135475	0.383388	0.244001	0.377	0.000499953	0.3668
tagG_2_depth	1.21245	1.01732	1.32092	1.49161	1.1652	1.29239	1.62176	1.04114	1.23058	0.544245	1.5356	1.03079	1.06244	1.27961	1.25917	0.749104	1.55231	0.688642	1.54293	1.21606	1.36807	0.823354	1.25802	1.43248	1.29004	1.53792	1.15954	0.899276	1.22585	1.32138	1.32645	1.22299	1.40666	1.27588	1.29486	1.16061	1.51521	1.16788	1.58994	1.34918	1.3739	1.50271	1.29253	1.41064	1.70656	1.71111	1.57127	1.12856	1.40606	1.41166	1.05132	1.36218	1.70499	1.48229	1.06545	1.19976	1.12472	1.26633	1.0085	1.21454	1.27944	1.16939	1.33622	1.44699	1.28145	1.83673	0.990895	1.32472	1.372	1.00818	1.24266	1.23637	1.32875	1.35893	1.14218	1.18609	1.09403	0.902562	1.27313	1.39231	1.28874	1.14581	1.22319	1.68967	0.665335	1.22693	1.80234	1.35606	1.5328	1.2859	0.692964	0.359751	1.22926	1.25856	1.41999	1.39927	1.07748	1.51769	1.42539	1.39065	0.944505	1.23065	1.5278	1.26381	1.27698	1.03356
tagH_2_depth	1.04674	1.16587	1.3011	1.49677	1.06639	1.22705	1.45663	1.31183	1.16038	1.46265	1.20717	1.02677	1.34735	1.16852	0.76077	0.802857	1.29323	0.977692	0.932508	1.11821	1.22243	0.82734	1.03039	1.13833	1.15962	1.11615	0.839331	0.754432	0.908338	0.848095	0.771003	0.773805	1.00353	0.75386	0.853742	0.852047	0.749827	1.45511	0.96088	0.990092	1.0166	0.882112	0.858087	0.982185	1.02935	0.695578	0.834856	0.872473	0.665293	1.00919	0.709249	0.881474	1.03808	1.12568	0.991904	0.897252	1.24114	0.984523	0.858829	0.913635	0.990754	0.802883	1.0687	0.953174	0.883586	1.05441	0.78299	0.9154	1.07023	0.959414	0.988292	1.12105	1.07094	0.943606	0.966956	1.22838	1.17413	1.04073	1.23704	1.05303	1.17098	1.17291	1.15183	1.11509	1.30493	1.31439	0.97407	1.09011	1.44445	1.25365	0.938338	0.341178	0.99186	1.06081	1.25375	1.12974	1.20931	1.31817	1.27505	1.28628	1.20241	1.20758	0.973667	1.20817	1.25915	0.986122
spsA_depth	1.23212	1.0861	1.40016	0.379758	1.18319	1.2612	0.020537	0.169932	1.242	2.04444	1.52772	1.86315	0.161786	0.32457	0.58348	0.195588	0.463632	0.969971	1.15972	1.59333	1.0836	0.0129909	1.61763	1.62618	0.00441115	0.00231263	0.00771597	1.093	1.08813	1.10561	1.31224	1.56804	1.51223	1.01964	1.57041	1.50797	0.00842002	1.01319	1.41903	0	0	1.09017	0.0311954	0	0.00105261	1.22681	0.732361	1.01956	1.06512	1.47184	1.14169	1.01674	1.28148	0	1.09134	1.13423	1.53138	0	1.42186	0	1.23853	1.61203	1.27656	1.79167	1.57106	0	1.45225	1.64891	0.00773247	1.10669	1.39445	1.42134	0.0363707	0.00775146	0.0288414	1.02152	1.01323	1.10695	0	1.37568	0.00506221	0.78972	1.18673	1.00261	0.530769	1.13791	0.0118023	0.14944	0.762322	0.076374	1.19387	0.0788391	0.110545	1.20682	1.12037	2.00307	0.0660343	0.161047	0.0209341	0.00423405	0.251358	0.973483	0.650084	1.01324	0.00315299	1.22563
WfgD_covprop	100	97.0297	93.8394	30.473	100	100	0	64.2464	100	87.6788	98.2398	97.7998	23.3223	93.3993	44.7745	17.9318	31.9032	66.5567	100	100	100	17.1617	100	100	49.2849	32.1232	16.6117	100	100	100	100	100	100	100	100	100	44.4444	100	100	5.17052	79.868	100	17.1617	0	78.5479	100	100	100	100	100	100	100	100	17.1617	100	100	100	16.6117	100	16.9417	100	100	100	100	100	0	100	100	49.3949	100	100	100	79.868	43.3443	48.6249	100	78.5479	84.1584	19.3619	100	27.6128	98.4598	99.89	66.2266	96.2596	98.8999	2.20022	96.5897	88.5589	91.6392	56.8757	50.8251	44.7745	100	98.5699	89.3289	29.2629	32.8933	29.0429	21.0121	30.6931	95.4895	88.9989	98.3498	0	89.879
rmlC_1_covprop	100	100	65.5678	24.7253	100	100	0	94.1392	100	64.4689	100	100	0	100	88.2784	30.9524	52.0147	69.5971	100	100	100	0	100	100	30.7692	48.7179	63.37	100	100	100	100	100	100	100	100	100	38.4615	100	100	0	0	100	0	0	0	100	100	100	100	100	100	100	100	0	100	100	100	0	100	0	100	100	100	100	100	0	100	100	0	100	100	100	41.9414	0	0	94.8718	75.2747	87.3626	0	100	20.3297	100	100	53.663	61.1722	100	0	100	78.3883	100	65.0183	35.5311	53.1136	100	100	86.0806	0	53.2967	10.8059	0	23.0769	100	87.5458	100	0	86.2637
