samplename	At_cov_markdup	At_depth_markdup
27.ESP_1975	0.0691718	0.583975
PL0137	0.018869	0.0200714
33.ESP_1985b	0.063491	0.143361
PL0210	0.849577	4.18344
PL0235	0.863924	4.53816
PL0127	0.452178	0.678258
PL0051	0.20731	0.260978
PL0185	0.890624	8.34564
30.ESP_1983b	0.44906	0.753457
109.NOR_1990	0.298828	0.41985
PL0220	0.884688	5.83634
PL0080	0.397642	0.582335
PL0224	0.890107	6.40007
PL0053	0.64015	1.30365
120.RUS_1860	0.676137	1.57914
PL0139	0.791067	2.36283
76.LTU_2009_S19	0.0324187	0.035727
34.ESP_1985c_S36	0.542012	1.81344
64.GBR_1933b_S36	0.727762	1.85714
HB0863	0.768781	3.05277
PL0222	0.891197	8.55333
86.NOR_1911_S7	0.82644	3.52102
HB0737	0.881474	4.5237
HB0814	0.885082	5.04505
75.LTU_1894_S30	0.860862	3.10797
HB0828	0.894722	6.34349
HB0766	0.883069	5.87102
HB0840	0.894477	6.0891
HB0841	0.892077	5.67523
PL0258	0.88394	6.42256
PL0073	0.88145	8.12686
PL0027	0.897858	8.84702
PL0068	0.892806	8.42695
PL0042	0.886184	8.48786
PL0230	0.903246	8.68465
PL0102	0.895922	7.45867
PL0108	0.897433	9.04577
PL0203	0.884923	8.05528
PL0001	0.876094	8.76009
PL0240	0.889652	7.57326
PL0026	0.898621	12.0068
PL0046	0.889267	12.1704
PL0065	0.886081	12.3463
PL0066	0.894891	14.3205
PL0131	0.877034	6.54823
PL0059	0.871411	6.84818
