samplename	Ps_cov_markdup	Ps_depth_markdup
27.ESP_1975	0.704073	1.50857
PL0137	0.897737	16.8099
33.ESP_1985b	0.896327	10.5273
PL0210	0.878278	10.4488
PL0235	0.923103	8.63398
PL0127	0.936327	8.71953
PL0051	0.90387	18.5792
PL0185	0.82209	2.73977
30.ESP_1983b	0.704352	1.49611
109.NOR_1990	0.91254	21.2222
PL0220	0.898094	18.5919
PL0080	0.949344	29.9207
PL0224	0.935154	7.07906
PL0053	0.946089	11.8482
120.RUS_1860	0.874103	4.87913
PL0139	0.713336	1.53818
76.LTU_2009_S19	0.871785	43.4261
34.ESP_1985c_S36	0.870383	13.2233
64.GBR_1933b_S36	0.843602	4.84464
HB0863	0.654052	1.55677
PL0222	0.652808	1.24438
86.NOR_1911_S7	0.632328	1.19619
HB0737	0.905585	9.59377
HB0814	0.93942	9.06438
75.LTU_1894_S30	0.880468	5.15566
HB0828	0.739165	1.7903
HB0766	0.885096	8.274
HB0840	0.76702	1.80811
HB0841	0.736065	1.62028
PL0258	0.836729	2.80434
PL0073	0.837162	2.85822
PL0027	0.661964	1.28372
PL0068	0.922904	12.7222
PL0042	0.942482	76.6242
PL0230	0.790335	2.03632
PL0102	0.955767	31.3478
PL0108	0.809302	5.07064
PL0203	0.728028	1.71379
PL0001	0.911512	4.62325
PL0240	0.850866	7.45621
PL0026	0.726993	1.60144
PL0046	0.901586	19.6711
PL0065	0.69257	1.37152
PL0066	0.709083	1.65637
PL0131	0.931405	53.4061
PL0059	0.933148	138.268
