samplename	At_cov_markdup	At_depth_markdup	Ps_cov_markdup	Ps_depth_markdup
27.ESP_1975	0.0691718	0.583975	0.704073	1.50857
PL0137	0.018869	0.0200714	0.897737	16.8099
33.ESP_1985b	0.063491	0.143361	0.896327	10.5273
PL0210	0.849577	4.18344	0.878278	10.4488
PL0235	0.863924	4.53816	0.923103	8.63398
PL0127	0.452178	0.678258	0.936327	8.71953
PL0051	0.20731	0.260978	0.90387	18.5792
PL0185	0.890624	8.34564	0.82209	2.73977
30.ESP_1983b	0.44906	0.753457	0.704352	1.49611
109.NOR_1990	0.298828	0.41985	0.91254	21.2222
PL0220	0.884688	5.83634	0.898094	18.5919
PL0080	0.397642	0.582335	0.949344	29.9207
PL0224	0.890107	6.40007	0.935154	7.07906
PL0053	0.64015	1.30365	0.946089	11.8482
120.RUS_1860	0.676137	1.57914	0.874103	4.87913
PL0139	0.791067	2.36283	0.713336	1.53818
76.LTU_2009_S19	0.0324187	0.035727	0.871785	43.4261
34.ESP_1985c_S36	0.542012	1.81344	0.870383	13.2233
64.GBR_1933b_S36	0.727762	1.85714	0.843602	4.84464
HB0863	0.768781	3.05277	0.654052	1.55677
PL0222	0.891197	8.55333	0.652808	1.24438
86.NOR_1911_S7	0.82644	3.52102	0.632328	1.19619
HB0737	0.881474	4.5237	0.905585	9.59377
HB0814	0.885082	5.04505	0.93942	9.06438
75.LTU_1894_S30	0.860862	3.10797	0.880468	5.15566
HB0828	0.894722	6.34349	0.739165	1.7903
HB0766	0.883069	5.87102	0.885096	8.274
HB0840	0.894477	6.0891	0.76702	1.80811
HB0841	0.892077	5.67523	0.736065	1.62028
PL0258	0.88394	6.42256	0.836729	2.80434
PL0073	0.88145	8.12686	0.837162	2.85822
PL0027	0.897858	8.84702	0.661964	1.28372
PL0068	0.892806	8.42695	0.922904	12.7222
PL0042	0.886184	8.48786	0.942482	76.6242
PL0230	0.903246	8.68465	0.790335	2.03632
PL0102	0.895922	7.45867	0.955767	31.3478
PL0108	0.897433	9.04577	0.809302	5.07064
PL0203	0.884923	8.05528	0.728028	1.71379
PL0001	0.876094	8.76009	0.911512	4.62325
PL0240	0.889652	7.57326	0.850866	7.45621
PL0026	0.898621	12.0068	0.726993	1.60144
PL0046	0.889267	12.1704	0.901586	19.6711
PL0065	0.886081	12.3463	0.69257	1.37152
PL0066	0.894891	14.3205	0.709083	1.65637
PL0131	0.877034	6.54823	0.931405	53.4061
PL0059	0.871411	6.84818	0.933148	138.268
