SAMPLE	TYPE	YEAR	COUNTRY	At_percent	At_covered	At_depth	Ps_percent	Ps_covered	Ps_depth	group	source
PL0001	Plant tissue herbarium	1966	Spain	0.61	0.87609	8.76009	0.01322	0.91151	4.62324	ATUE5	PL
PL0026	Plant tissue herbarium	2002	Sweden	0.5	0.89862	12.0068	0.00506	0.72699	1.60144	ATUE5	PL
PL0059	Plant tissue herbarium	1985	Spain	0.121	0.87141	6.84818	0.31724	0.93314	138.268	ATUE5	PL
PL0073	Plant tissue herbarium	1991	Spain	0.563	0.88145	8.12686	0.01063	0.83716	2.85822	ATUE5	PL
PL0102	Plant tissue herbarium	1888	Germany	0.256	0.89592	7.45867	0.06399	0.95576	31.3478	ATUE5	PL
PL0108	Plant tissue herbarium	1946	Sweden	0.196	0.89743	9.04577	0.00875	0.8093	5.07063	nonATUE5	PL
PL0131	Plant tissue herbarium	1980	Spain	0.18	0.87703	6.54823	0.09679	0.9314	53.4061	ATUE5	PL
PL0139	Plant tissue herbarium	1996	Sweden	0.139	0.79106	2.36283	0.00481	0.71333	1.53818	ATUE5	PL
PL0185	Plant tissue herbarium	1994	Germany	0.432	0.89062	8.34564	0.00608	0.82208	2.73977	ATUE5	PL
PL0203	Plant tissue herbarium	1880	United Kingdom	0.548	0.88492	8.05528	0.0051	0.72802	1.71379	nonATUE5	PL
PL0210	Plant tissue herbarium	1838	United Kingdom	0.303	0.84957	4.18344	0.03731	0.87827	10.4488	ATUE5	PL
PL0220	Plant tissue herbarium	1946	United Kingdom	0.486	0.88468	5.83634	0.08449	0.89809	18.5919	ATUE5	PL
PL0222	Plant tissue herbarium	1887	United Kingdom	0.421	0.89119	8.55333	0.00365	0.6528	1.24438	ATUE5	PL
PL0224	Plant tissue herbarium	1889	United Kingdom	0.202	0.8901	6.40007	0.01377	0.93515	7.07906	ATUE5	PL
PL0230	Plant tissue herbarium	1851	United Kingdom	0.573	0.90324	8.68465	0.00738	0.79033	2.03632	ATUE5	PL
PL0235	Plant tissue herbarium	1905	United Kingdom	0.403	0.86392	4.53816	0.03945	0.9231	8.63398	ATUE5	PL
PL0240	Plant tissue herbarium	1875	United Kingdom	0.667	0.88965	7.57326	0.02041	0.85086	7.45621	ATUE5	PL
PL0258	Plant tissue herbarium	1913	United Kingdom	0.499	0.88393	6.42256	0.01177	0.83672	2.80434	nonATUE5	PL
PL0027	Plant tissue herbarium	1939	Sweden	0.483	0.89785	8.8469	0.00337	0.66195	1.28379	ATUE5	PL
PL0042	Plant tissue herbarium	1982	Spain	0.282	0.88618	8.48798	0.15487	0.94247	76.6245	ATUE5	PL
PL0046	Plant tissue herbarium	1974	Spain	0.49	0.88928	12.1704	0.04341	0.90158	19.6712	ATUE5	PL
PL0051	Plant tissue herbarium	1983	Spain	0.015	0.20731	0.260981	0.04946	0.90386	18.5787	ATUE5	PL
PL0053	Plant tissue herbarium	1987	Spain	0.077	0.64014	1.30363	0.02709	0.94608	11.8494	ATUE5	PL
PL0065	Plant tissue herbarium	2015	Spain	0.399	0.88608	12.3462	0.0021	0.69259	1.37156	ATUE5	PL
PL0066	Plant tissue herbarium	2015	Spain	0.434	0.89489	14.3206	0.00332	0.70911	1.65642	nonATUE5	PL
PL0068	Plant tissue herbarium	1986	Spain	0.172	0.89279	8.42692	0.01056	0.92292	12.7212	ATUE5	PL
PL0080	Plant tissue herbarium	1985	Spain	0.019	0.39764	0.582327	0.04268	0.94935	29.9209	ATUE5	PL
PL0127	Plant tissue herbarium	1979	Spain	0.091	0.45217	0.678272	0.04663	0.93628	8.71941	ATUE5	PL
PL0137	Plant tissue herbarium	1961	Sweden	0.013	0.01886	0.0200638	0.36606	0.89773	16.8099	ATUE5	PL
27.ESP_1975	Plant tissue herbarium	1975	Spain	0.055	0.07223	0.644721	0.00761	0.75408	1.72965	ATUE5	(Lopez et al., 2022)
30.ESP_1983b	Plant tissue herbarium	1983	Spain	0.047	0.47139	0.810803	0.00542	0.75817	1.76329	ATUE5	(Lopez et al., 2022)
33.ESP_1985b	Plant tissue herbarium	1985	Spain	0.008	0.13258	0.162315	0.08932	0.91852	31.9443	ATUE5	(Lopez et al., 2022)
34.ESP_1985c_S36	Plant tissue herbarium	1985	Spain	0.223	0.81357	2.40227	0.20129	0.90387	41.6259	ATUE5	(Lopez et al., 2022)
64.GBR_1933b_S36	Plant tissue herbarium	1933	UK	0.395	0.74176	1.95415	0.05759	0.86918	5.57471	ATUE5	(Lopez et al., 2022)
75.LTU_1894_S30	Plant tissue herbarium	1894	Lithuania	0.402	0.87962	3.5555	0.03706	0.91121	6.5149	ATUE5	(Lopez et al., 2022)
76.LTU_2009_S19	Plant tissue herbarium	2009	Lithuania	0.002	0.03358	0.0372057	0.26197	0.89579	66.3318	ATUE5	(Lopez et al., 2022)
86.NOR_1911_S7	Plant tissue herbarium	1911	Norway	0.316	0.83444	3.74597	0.00605	0.68273	1.37077	ATUE5	(Lopez et al., 2022)
109.NOR_1990	Plant tissue herbarium	1990	Norway	0.048	0.30045	0.423004	0.12071	0.92413	27.1455	ATUE5	(Lopez et al., 2022)
120.RUS_1860	Plant tissue herbarium	1860	Russia	0.181	0.70539	1.75018	0.03072	0.89948	5.68055	ATUE5	(Lopez et al., 2022)
HB0737	Plant tissue herbarium	1937	Germany	0.408	0.88147	4.5237	0.03987	0.90558	9.59378	ATUE5	(Latorre et al., 2022)
HB0766	Plant tissue herbarium	1846	Germany	0.489	0.88306	5.87102	0.02892	0.88509	8.274	ATUE5	(Latorre et al., 2022)
HB0814	Plant tissue herbarium	1882	Germany	0.192	0.88508	5.04505	0.01842	0.93942	9.06438	ATUE5	(Latorre et al., 2022)
