SAMPLE	TYPE	YEAR	COUNTRY	At_percent	At_covered	At_depth	Ps_percent	Ps_covered	Ps_depth	group	source
PL0001	Plant tissue herbarium	1966	Spain	0.61	0.876094	8.76009	0.03394	0.911512	4.62325	ATUE5	PL
PL0026	Plant tissue herbarium	2002	Sweden	0.5	0.898621	12.0068	0.01012	0.726993	1.60144	ATUE5	PL
PL0059	Plant tissue herbarium	1985	Spain	0.121	0.871411	6.84818	0.36115	0.933148	138.268	ATUE5	PL
PL0073	Plant tissue herbarium	1991	Spain	0.563	0.88145	8.12686	0.02439	0.837162	2.85822	ATUE5	PL
PL0102	Plant tissue herbarium	1888	Germany	0.256	0.895922	7.45867	0.08611	0.955767	31.3478	ATUE5	PL
PL0108	Plant tissue herbarium	1946	Sweden	0.196	0.897433	9.04577	0.01089	0.809302	5.07064	nonATUE5	PL
PL0131	Plant tissue herbarium	1980	Spain	0.18	0.877034	6.54823	0.11808	0.931405	53.4061	ATUE5	PL
PL0139	Plant tissue herbarium	1996	Sweden	0.139	0.791067	2.36283	0.00559	0.713336	1.53818	ATUE5	PL
PL0185	Plant tissue herbarium	1994	Germany	0.432	0.890624	8.34564	0.01071	0.82209	2.73977	ATUE5	PL
PL0203	Plant tissue herbarium	1880	United Kingdom	0.548	0.884923	8.05528	0.01133	0.728028	1.71379	nonATUE5	PL
PL0210	Plant tissue herbarium	1838	United Kingdom	0.303	0.849577	4.18344	0.0536	0.878278	10.4488	ATUE5	PL
PL0220	Plant tissue herbarium	1946	United Kingdom	0.486	0.884688	5.83634	0.1647	0.898094	18.5919	ATUE5	PL
PL0222	Plant tissue herbarium	1887	United Kingdom	0.421	0.891197	8.55333	0.00631	0.652808	1.24438	ATUE5	PL
PL0224	Plant tissue herbarium	1889	United Kingdom	0.202	0.890107	6.40007	0.01728	0.935154	7.07906	ATUE5	PL
PL0230	Plant tissue herbarium	1851	United Kingdom	0.573	0.903246	8.68465	0.01731	0.790335	2.03632	ATUE5	PL
PL0235	Plant tissue herbarium	1905	United Kingdom	0.403	0.863924	4.53816	0.06616	0.923103	8.63398	ATUE5	PL
PL0240	Plant tissue herbarium	1875	United Kingdom	0.667	0.889652	7.57326	0.06142	0.850866	7.45621	ATUE5	PL
PL0258	Plant tissue herbarium	1913	United Kingdom	0.499	0.88394	6.42256	0.02354	0.836729	2.80434	nonATUE5	PL
PL0027	Plant tissue herbarium	1939	Sweden	0.483	0.897858	8.84702	0.00652	0.661964	1.28372	ATUE5	PL
PL0042	Plant tissue herbarium	1982	Spain	0.282	0.886184	8.48786	0.21576	0.942482	76.6242	ATUE5	PL
PL0046	Plant tissue herbarium	1974	Spain	0.49	0.889267	12.1704	0.08517	0.901586	19.6711	ATUE5	PL
PL0051	Plant tissue herbarium	1983	Spain	0.015	0.20731	0.260978	0.05023	0.90387	18.5792	ATUE5	PL
PL0053	Plant tissue herbarium	1987	Spain	0.077	0.64015	1.30365	0.02937	0.946089	11.8482	ATUE5	PL
PL0065	Plant tissue herbarium	2015	Spain	0.399	0.886081	12.3463	0.0035	0.69257	1.37152	ATUE5	PL
PL0066	Plant tissue herbarium	2015	Spain	0.434	0.894891	14.3205	0.00588	0.709083	1.65637	nonATUE5	PL
PL0068	Plant tissue herbarium	1986	Spain	0.172	0.892806	8.42695	0.01276	0.922904	12.7222	ATUE5	PL
PL0080	Plant tissue herbarium	1985	Spain	0.019	0.397642	0.582335	0.04355	0.949344	29.9207	ATUE5	PL
PL0127	Plant tissue herbarium	1979	Spain	0.091	0.452178	0.678258	0.05133	0.936327	8.71953	ATUE5	PL
PL0137	Plant tissue herbarium	1961	Sweden	0.013	0.018869	0.0200714	0.37113	0.897737	16.8099	ATUE5	PL
27.ESP_1975	Plant tissue herbarium	1975	Spain	0.055	0.0691718	0.583975	0.00768	0.704073	1.50857	ATUE5	(Lopez et al., 2022)
30.ESP_1983b	Plant tissue herbarium	1983	Spain	0.047	0.44906	0.753457	0.00534	0.704352	1.49611	ATUE5	(Lopez et al., 2022)
33.ESP_1985b	Plant tissue herbarium	1985	Spain	0.008	0.063491	0.143361	0.07954	0.896327	10.5273	ATUE5	(Lopez et al., 2022)
34.ESP_1985c_S36	Plant tissue herbarium	1985	Spain	0.211	0.542012	1.81344	0.21689	0.870383	13.2233	ATUE5	(Lopez et al., 2022)
64.GBR_1933b_S36	Plant tissue herbarium	1933	UK	0.396	0.727762	1.85714	0.09096	0.843602	4.84464	ATUE5	(Lopez et al., 2022)
75.LTU_1894_S30	Plant tissue herbarium	1894	Lithuania	0.402	0.860862	3.10797	0.05704	0.880468	5.15566	ATUE5	(Lopez et al., 2022)
76.LTU_2009_S19	Plant tissue herbarium	2009	Lithuania	0.002	0.0324187	0.035727	0.24224	0.871785	43.4261	ATUE5	(Lopez et al., 2022)
86.NOR_1911_S7	Plant tissue herbarium	1911	Norway	0.316	0.82644	3.52102	0.00842	0.632328	1.19619	ATUE5	(Lopez et al., 2022)
109.NOR_1990	Plant tissue herbarium	1990	Norway	0.048	0.298828	0.41985	0.11982	0.91254	21.2222	ATUE5	(Lopez et al., 2022)
120.RUS_1860	Plant tissue herbarium	1860	Russia	0.181	0.676137	1.57914	0.03585	0.874103	4.87913	ATUE5	(Lopez et al., 2022)
HB0737	Plant tissue herbarium	1937	Germany	0.408	0.881474	4.5237	0.0674	0.905585	9.59377	ATUE5	(Latorre et al., 2022)
HB0766	Plant tissue herbarium	1846	Germany	0.489	0.883069	5.87102	0.05669	0.885096	8.274	ATUE5	(Latorre et al., 2022)
HB0814	Plant tissue herbarium	1882	Germany	0.192	0.885082	5.04505	0.02283	0.93942	9.06438	ATUE5	(Latorre et al., 2022)
HB0828	Plant tissue herbarium	1890	Germany	0.391	0.894722	6.34349	0.00875	0.739165	1.7903	nonATUE5	(Latorre et al., 2022)
HB0840	Plant tissue herbarium	1851	Germany	0.497	0.894477	6.0891	0.01476	0.76702	1.80811	ATUE5	(Latorre et al., 2022)
HB0841	Plant tissue herbarium	1875	Germany	0.494	0.892077	5.67523	0.0142	0.736065	1.62028	ATUE5	(Latorre et al., 2022)
HB0863	Plant tissue herbarium	1954	Somalia	0.232	0.768781	3.05277	0.0071	0.654052	1.55677	nonATUE5	(Latorre et al., 2022)
