samplename At_percent At_covered At_depth Ps_percent Ps_covered Ps_depth
PL0105 0.519 0.89425 08.59994 0.00481 0.64736 01.19447
PL0087 0.440 0.88464 08.3713 0.00339 0.62662 01.15453
HB0808 0.551 0.88061 05.32631 0.00567 0.60165 01.06777
PL0001 0.610 0.87609 08.76009 0.01322 0.91151 04.62324
PL0026 0.500 0.89862 012.0068 0.00506 0.72699 01.60144
PL0059 0.121 0.87141 06.84818 0.31724 0.93314 0138.268
PL0073 0.563 0.88145 08.12686 0.01063 0.83716 02.85822
PL0102 0.256 0.89592 07.45867 0.06399 0.95576 031.3478
PL0108 0.196 0.89743 09.04577 0.00875 0.80930 05.07063
PL0131 0.180 0.87703 06.54823 0.09679 0.93140 053.4061
PL0139 0.139 0.79106 02.36283 0.00481 0.71333 01.53818
PL0185 0.432 0.89062 08.34564 0.00608 0.82208 02.73977
PL0203 0.548 0.88492 08.05528 0.00510 0.72802 01.71379
PL0210 0.303 0.84957 04.18344 0.03731 0.87827 010.4488
PL0220 0.486 0.88468 05.83634 0.08449 0.89809 018.5919
PL0222 0.421 0.89119 08.55333 0.00365 0.65280 01.24438
PL0224 0.202 0.89010 06.40007 0.01377 0.93515 07.07906
PL0230 0.573 0.90324 08.68465 0.00738 0.79033 02.03632
PL0235 0.403 0.86392 04.53816 0.03945 0.92310 08.63398
PL0240 0.667 0.88965 07.57326 0.02041 0.85086 07.45621
PL0258 0.499 0.88393 06.42256 0.01177 0.83672 02.80434
PL0027 0.483 0.89785 08.8469 0.00337 0.66195 01.28379
PL0042 0.282 0.88618 08.48798 0.15487 0.94247 076.6245
PL0046 0.490 0.88928 012.1704 0.04341 0.90158 019.6712
PL0051 0.015 0.20731 0.260981 0.04946 0.90386 018.5787
PL0053 0.077 0.64014 01.30363 0.02709 0.94608 011.8494
PL0065 0.399 0.88608 012.3462 0.00210 0.69259 01.37156
PL0066 0.434 0.89489 014.3206 0.00332 0.70911 01.65642
PL0068 0.172 0.89279 08.42692 0.01056 0.92292 012.7212
PL0080 0.019 0.39764 0.582327 0.04268 0.94935 029.9209
PL0127 0.091 0.45217 0.678272 0.04663 0.93628 08.71941
PL0137 0.013 0.01886 0.0200638 0.36606 0.89773 016.8099
109.NOR_1990 0.048 0.30045 0.423004 0.12071 0.92413 027.1455
120.RUS_1860 0.181 0.70539 01.75018 0.03072 0.89948 05.68055
27.ESP_1975 0.055 0.07223 0.644721 0.00761 0.75408 01.72965
30.ESP_1983b 0.047 0.47139 0.810803 0.00542 0.75817 01.76329
33.ESP_1985b 0.008 0.13258 0.162315 0.08932 0.91852 031.9443
34.ESP_1985c_S36 0.223 0.81357 02.40227 0.20129 0.90387 041.6259
64.GBR_1933b_S36 0.395 0.74176 01.95415 0.05759 0.86918 05.57471
75.LTU_1894_S30 0.402 0.87962 03.5555 0.03706 0.91121 06.5149
76.LTU_2009_S19 0.002 0.03358 0.0372057 0.26197 0.89579 066.3318
86.NOR_1911_S7 0.316 0.83444 03.74597 0.00605 0.68273 01.37077
HB0737 0.408 0.88147 04.5237 0.03987 0.90558 09.59378
HB0766 0.489 0.88306 05.87102 0.02892 0.88509 08.274
HB0814 0.192 0.88508 05.04505 0.01842 0.93942 09.06438
HB0828 0.391 0.89472 06.34349 0.00533 0.73916 01.7903
HB0840 0.497 0.89447 06.0891 0.00742 0.76701 01.80811
HB0841 0.494 0.89207 05.67523 0.00718 0.73606 01.62028
HB0863 0.232 0.76878 03.05277 0.00545 0.65405 01.55677
