pos	value	group	Pos	total	base	proportion	pos_from_5end	sample
1	4264	C.T	1	205604	C	0.0207388961304255	1	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
2	3379	C.T	2	185680	C	0.0181979750107712	2	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
3	2203	C.T	3	175101	C	0.0125813102152472	3	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
4	1898	C.T	4	173818	C	0.0109194674889827	4	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
5	1981	C.T	5	177461	C	0.011163016099312	5	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
6	1961	C.T	6	171525	C	0.0114327357528057	6	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
7	1653	C.T	7	169486	C	0.00975301794838512	7	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
8	1844	C.T	8	174760	C	0.0105516136415656	8	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
9	1754	C.T	9	167814	C	0.0104520481008736	9	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
10	1550	C.T	10	170062	C	0.00911432301160753	10	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
11	1799	C.T	11	175359	C	0.010258954487651	11	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
12	1539	C.T	12	168494	C	0.00913385639844742	12	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
13	1591	C.T	13	170418	C	0.00933586827682522	13	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
14	1760	C.T	14	177050	C	0.00994069471900593	14	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
15	1629	C.T	15	169268	C	0.00962379185670062	15	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
16	1514	C.T	16	170762	C	0.00886614117895082	16	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
17	1679	C.T	17	176959	C	0.00948807350855283	17	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
18	1615	C.T	18	169892	C	0.00950603913074188	18	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
19	1686	C.T	19	171494	C	0.00983124774044573	19	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
20	1762	C.T	20	175723	C	0.0100271449952482	20	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
21	1590	C.T	21	164001	C	0.00969506283498271	21	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
22	1509	C.T	22	163654	C	0.00922067288303372	22	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
23	1739	C.T	23	167619	C	0.0103747188564542	23	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
24	1628	C.T	24	157730	C	0.01032143536423	24	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
25	1553	C.T	25	156583	C	0.00991806262493374	25	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
26	1654	C.T	26	159576	C	0.0103649671629819	26	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
27	1559	C.T	27	148754	C	0.0104803904432822	27	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
28	1457	C.T	28	147871	C	0.0098531828418013	28	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
29	1513	C.T	29	149686	C	0.0101078257151637	29	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
30	1489	C.T	30	140576	C	0.010592135215115	30	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
31	1406	C.T	31	138390	C	0.0101596936194812	31	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
32	1477	C.T	32	139887	C	0.0105585222358046	32	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
33	1321	C.T	33	130371	C	0.0101326215185893	33	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
34	1335	C.T	34	127435	C	0.0104759289049319	34	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
35	1351	C.T	35	128725	C	0.0104952417945232	35	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
36	1266	C.T	36	121369	C	0.0104309996786659	36	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
37	1172	C.T	37	118278	C	0.00990885879030758	37	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
38	1245	C.T	38	118960	C	0.0104657027572293	38	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
39	1108	C.T	39	110413	C	0.0100350502205356	39	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
40	1076	C.T	40	107756	C	0.00998552284791566	40	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
41	1134	C.T	41	107892	C	0.0105105105105105	41	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
42	976	C.T	42	100337	C	0.00972721927105654	42	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
43	1011	C.T	43	97537	C	0.0103652972718045	43	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
44	1064	C.T	44	98089	C	0.0108472917452518	44	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
45	934	C.T	45	90826	C	0.0102833990267104	45	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
46	820	C.T	46	88355	C	0.00928074245939675	46	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
47	913	C.T	47	88660	C	0.0102977667493797	47	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
48	768	C.T	48	82056	C	0.00935946183094472	48	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
49	823	C.T	49	80068	C	0.0102787630514063	49	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
50	788	C.T	50	80432	C	0.00979709568331013	50	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
51	729	C.T	51	74781	C	0.0097484655193164	51	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
52	694	C.T	52	72372	C	0.00958934394517217	52	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
53	694	C.T	53	71984	C	0.00964103134029784	53	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
54	651	C.T	54	66674	C	0.0097639259681435	54	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
55	627	C.T	55	64903	C	0.00966057038965841	55	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
56	699	C.T	56	64883	C	0.0107732379822141	56	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
57	581	C.T	57	60052	C	0.00967494837807234	57	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
58	569	C.T	58	58734	C	0.0096877447475057	58	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
59	585	C.T	59	58388	C	0.0100191820237035	59	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
60	521	C.T	60	53983	C	0.00965118648463405	60	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
61	494	C.T	61	52790	C	0.00935783292290207	61	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
62	512	C.T	62	52257	C	0.00979773044759554	62	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
63	442	C.T	63	48504	C	0.00911265050305129	63	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
64	442	C.T	64	47011	C	0.00940205483822935	64	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
65	460	C.T	65	47397	C	0.00970525560689495	65	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
66	409	C.T	66	43737	C	0.00935135011546288	66	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
67	404	C.T	67	42412	C	0.0095256059605772	67	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
68	450	C.T	68	42431	C	0.0106054535598972	68	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
69	369	C.T	69	39181	C	0.00941783007069753	69	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
70	375	C.T	70	38221	C	0.00981136024698464	70	PL0001.mapped_to_Pseudomonas.dd.q20.mapDamage
1	1231	C.T	1	72118	C	0.0170692476219529	1	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
2	1383	C.T	2	65353	C	0.021161997153918	2	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
3	901	C.T	3	64158	C	0.0140434552199258	3	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
4	861	C.T	4	67811	C	0.0126970550500656	4	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
5	916	C.T	5	68025	C	0.0134656376332231	5	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
6	988	C.T	6	62056	C	0.0159211035194018	6	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
7	919	C.T	7	64382	C	0.0142741760119288	7	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
8	904	C.T	8	66724	C	0.0135483484203585	8	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
9	891	C.T	9	65910	C	0.0135184342284934	9	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
10	903	C.T	10	66030	C	0.0136756019990913	10	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
11	885	C.T	11	67356	C	0.0131391412791733	11	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
12	903	C.T	12	66877	C	0.0135023999282264	12	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
13	838	C.T	13	66756	C	0.0125531787404877	13	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
14	874	C.T	14	67701	C	0.0129097059127635	14	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
15	864	C.T	15	66352	C	0.0130214612973234	15	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
16	880	C.T	16	66428	C	0.0132474257843078	16	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
17	886	C.T	17	67406	C	0.0131442304839332	17	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
18	880	C.T	18	66983	C	0.0131376617947838	18	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
19	828	C.T	19	66011	C	0.0125433639847904	19	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
20	796	C.T	20	62956	C	0.0126437511913082	20	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
21	795	C.T	21	57985	C	0.0137104423557817	21	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
22	713	C.T	22	54938	C	0.012978266409407	22	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
23	767	C.T	23	54011	C	0.0142008109459184	23	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
24	713	C.T	24	52591	C	0.0135574527961058	24	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
25	779	C.T	25	51568	C	0.0151062674526838	25	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
26	703	C.T	26	51281	C	0.0137087810300111	26	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
27	671	C.T	27	50232	C	0.0133580187928014	27	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
28	643	C.T	28	48836	C	0.0131665165042182	28	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
29	669	C.T	29	48963	C	0.0136633784694565	29	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
30	658	C.T	30	47142	C	0.0139578295362946	30	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
31	639	C.T	31	46145	C	0.013847654133709	31	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
32	590	C.T	32	45604	C	0.0129374616261731	32	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
33	588	C.T	33	44029	C	0.0133548343137478	33	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
34	581	C.T	34	42553	C	0.0136535614410265	34	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
35	573	C.T	35	42725	C	0.0134113516676419	35	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
36	566	C.T	36	40846	C	0.0138569260147872	36	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
37	581	C.T	37	39404	C	0.0147446959699523	37	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
38	556	C.T	38	38810	C	0.0143262045864468	38	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
39	519	C.T	39	37050	C	0.0140080971659919	39	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
40	487	C.T	40	35547	C	0.0137001716037922	40	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
41	461	C.T	41	34706	C	0.0132830058203193	41	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
42	475	C.T	42	33361	C	0.0142381823086838	42	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
43	424	C.T	43	31990	C	0.0132541419193498	43	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
44	465	C.T	44	31266	C	0.0148723853387066	44	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
45	375	C.T	45	29688	C	0.0126313662085691	45	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
46	377	C.T	46	28431	C	0.0132601737540009	46	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
47	336	C.T	47	27728	C	0.0121177149451818	47	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
48	317	C.T	48	26207	C	0.0120960048841912	48	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
49	329	C.T	49	24995	C	0.0131626325265053	49	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
50	335	C.T	50	24660	C	0.0135847526358475	50	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
51	300	C.T	51	23302	C	0.0128744313792807	51	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
52	312	C.T	52	22084	C	0.014127875384894	52	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
53	296	C.T	53	21600	C	0.0137037037037037	53	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
54	258	C.T	54	20459	C	0.012610587027714	54	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
55	284	C.T	55	19383	C	0.0146520146520147	55	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
56	259	C.T	56	18989	C	0.0136394754858076	56	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
57	227	C.T	57	17728	C	0.0128046028880866	57	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
58	222	C.T	58	17233	C	0.0128822607787385	58	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
59	236	C.T	59	16627	C	0.0141937811992542	59	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
60	202	C.T	60	15773	C	0.0128066949851011	60	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
61	194	C.T	61	15151	C	0.0128044353508019	61	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
62	186	C.T	62	14817	C	0.0125531484106094	62	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
63	173	C.T	63	13751	C	0.0125809032070395	63	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
64	184	C.T	64	13364	C	0.0137683328344807	64	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
65	198	C.T	65	12986	C	0.0152471892807639	65	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
66	173	C.T	66	12120	C	0.0142739273927393	66	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
67	162	C.T	67	11581	C	0.0139884293238926	67	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
68	132	C.T	68	11246	C	0.0117375066690379	68	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
69	127	C.T	69	10567	C	0.0120185483107788	69	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
70	122	C.T	70	10129	C	0.0120446243459374	70	PL0026.mapped_to_Pseudomonas.dd.q20.mapDamage
1	701	C.T	1	39649	C	0.0176801432570809	1	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
2	680	C.T	2	37821	C	0.0179794294175194	2	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
3	421	C.T	3	37762	C	0.0111487738996875	3	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
4	389	C.T	4	36592	C	0.0106307389593354	4	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
5	467	C.T	5	36708	C	0.0127220224474229	5	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
6	449	C.T	6	34703	C	0.0129383626775783	6	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
7	428	C.T	7	35732	C	0.0119780588827941	7	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
8	446	C.T	8	37383	C	0.0119305566701442	8	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
9	422	C.T	9	36412	C	0.0115895858508184	9	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
10	423	C.T	10	36211	C	0.0116815332357571	10	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
11	437	C.T	11	37545	C	0.0116393660940205	11	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
12	415	C.T	12	36481	C	0.0113757846550259	12	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
13	407	C.T	13	36416	C	0.0111764059753954	13	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
14	427	C.T	14	37418	C	0.0114116200758993	14	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
15	437	C.T	15	36417	C	0.0119998901611885	15	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
16	369	C.T	16	36354	C	0.0101501898002971	16	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
17	487	C.T	17	37652	C	0.0129342398810156	17	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
18	396	C.T	18	36290	C	0.0109120969964177	18	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
19	391	C.T	19	36797	C	0.0106258662390956	19	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
20	466	C.T	20	36695	C	0.0126992778307671	20	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
21	370	C.T	21	34741	C	0.0106502403500187	21	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
22	336	C.T	22	34168	C	0.00983376258487474	22	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
23	374	C.T	23	34964	C	0.010696716622812	23	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
24	392	C.T	24	33481	C	0.0117081329709387	24	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
25	356	C.T	25	33125	C	0.0107471698113208	25	PL0027.mapped_to_Pseudomonas.dd.q20.mapDamage
