Warning message:
package ‘data.table’ was built under R version 4.2.3 
✅ Found 49 historical (h409 dump files
[01/49] 109.NOR_1990: mean=16.19 sd=6.30 thr=35.09 n=5669945
[02/49] 120.RUS_1860: mean=4.68 sd=1.70 thr=9.79 n=3526295
[03/49] 27.ESP_1975: mean=3.35 sd=0.66 thr=5.32 n=468750
[04/49] 30.ESP_1983b: mean=3.43 sd=0.79 thr=5.79 n=499635
[05/49] 33.ESP_1985b: mean=19.90 sd=7.81 thr=43.33 n=5693836
[06/49] 34.ESP_1985c_S36: mean=27.92 sd=8.40 thr=53.12 n=5306072
[07/49] 64.GBR_1933b_S36: mean=5.01 sd=2.00 thr=11.01 n=3503931
[08/49] 75.LTU_1894_S30: mean=4.76 sd=1.82 thr=10.21 n=3793669
[09/49] 76.LTU_2009_S19: mean=44.48 sd=12.39 thr=81.65 n=5281322
[10/49] 86.NOR_1911_S7: mean=3.32 sd=0.64 thr=5.24 n=395470
[11/49] HB0737: mean=6.60 sd=2.89 thr=15.26 n=4473490
[12/49] HB0766: mean=7.09 sd=2.98 thr=16.05 n=4515119
[13/49] HB0808: mean=3.26 sd=0.60 thr=5.06 n=206444
[14/49] HB0814: mean=5.01 sd=1.96 thr=10.90 n=3767108
[15/49] HB0828: mean=3.53 sd=0.97 thr=6.42 n=568691
[16/49] HB0840: mean=3.36 sd=0.70 thr=5.47 n=333511
[17/49] HB0841: mean=3.32 sd=0.70 thr=5.41 n=245574
[18/49] HB0863: mean=4.13 sd=2.50 thr=11.64 n=321034
[19/49] PL0001: mean=3.86 sd=1.11 thr=7.20 n=2119668
[20/49] PL0026: mean=3.25 sd=0.56 thr=4.92 n=205348
[21/49] PL0027: mean=3.27 sd=0.58 thr=5.01 n=283590
[22/49] PL0042: mean=58.85 sd=20.00 thr=118.84 n=5520591
[23/49] PL0046: mean=14.63 sd=5.30 thr=30.52 n=4915932
[24/49] PL0051: mean=9.70 sd=3.49 thr=20.19 n=4868621
[25/49] PL0053: mean=7.00 sd=3.27 thr=16.82 n=5775950
[26/49] PL0059: mean=70.47 sd=42.06 thr=196.64 n=7544680
[27/49] PL0065: mean=3.30 sd=0.65 thr=5.24 n=314531
[28/49] PL0066: mean=3.80 sd=1.61 thr=8.61 n=230154
[29/49] PL0068: mean=8.56 sd=3.69 thr=19.62 n=5117275
[30/49] PL0073: mean=3.54 sd=0.85 thr=6.10 n=890787
[31/49] PL0080: mean=18.09 sd=9.56 thr=46.78 n=6069970
[32/49] PL0087: mean=3.19 sd=0.50 thr=4.67 n=105828
[33/49] PL0102: mean=11.24 sd=6.27 thr=30.04 n=7599581
[34/49] PL0105: mean=3.13 sd=0.38 thr=4.25 n=46653
[35/49] PL0108: mean=8.87 sd=10.49 thr=40.33 n=788122
[36/49] PL0127: mean=5.95 sd=2.52 thr=13.51 n=4457838
[37/49] PL0131: mean=28.83 sd=15.92 thr=76.60 n=6468165
[38/49] PL0137: mean=10.52 sd=3.74 thr=21.73 n=4947974
[39/49] PL0139: mean=3.36 sd=0.68 thr=5.39 n=421455
[40/49] PL0185: mean=3.70 sd=0.98 thr=6.65 n=1418044
[41/49] PL0203: mean=3.30 sd=0.68 thr=5.34 n=141113
[42/49] PL0210: mean=5.58 sd=2.07 thr=11.79 n=3983049
[43/49] PL0220: mean=10.51 sd=3.81 thr=21.93 n=4941537
[44/49] PL0222: mean=3.13 sd=0.37 thr=4.25 n=62917
[45/49] PL0224: mean=4.02 sd=1.29 thr=7.89 n=2273443
[46/49] PL0230: mean=3.34 sd=0.68 thr=5.36 n=394922
[47/49] PL0235: mean=4.11 sd=1.34 thr=8.12 n=2465411
[48/49] PL0240: mean=5.69 sd=2.20 thr=12.30 n=3905505
[49/49] PL0258: mean=3.51 sd=1.00 thr=6.50 n=562003
            used   (Mb) gc trigger   (Mb)  max used   (Mb)
Ncells    940946   50.3    1529950   81.8   1529950   81.8
Vcells 276523318 2109.8  663642111 5063.2 551527673 4207.9
✅ Combined normalized data for 49 samples
