samplename	At_percent	At_covered	At_depth	Ps_percent	Ps_covered	Ps_depth	group	type	source	year	country
PL0001	0.61	0.8761	10.8152	0.03394	0.91162	5.12634	cover>=65%Ps	Plant tissue herbarium	PL	1966	Spain
PL0002	0.401	0.90914	9.11389	0.00297	0.31743	0.456821	nointerests	Plant tissue herbarium	PL	1968	Spain
PL0003	0.506	0.87954	7.22477	0.00291	0.14305	0.193782	nointerests	Plant tissue herbarium	PL	1966	Spain
PL0017	0.588	0.91616	12.2791	7e-04	0.03426	0.039361	nointerests	Plant tissue herbarium	PL	1925	Sweden
PL0030	0.651	0.90413	14.3652	0.00052	0.03459	0.0379866	nointerests	Plant tissue herbarium	PL	1960	Sweden
PL0037	0.62	0.87773	12.1686	0.00046	0.01401	0.0162987	nointerests	Plant tissue herbarium	PL	1998	Spain
PL0044	0.584	0.83432	4.08934	0.00054	0.00418	0.00532937	nointerests	Plant tissue herbarium	PL	2015	Spain
LND0702ad	0.633	0.87873	10.2821	0.00046	0.01764	0.019829	nointerests	Plant tissue herbarium	PL	1891	Sweden
MGC0051ab	0.54	0.89245	10.1418	0.00354	0.23972	0.322436	nointerests	Plant tissue herbarium	PL	1966	Spain
PL0007	0.488	0.88463	14.6766	0.00275	0.24024	0.346429	nointerests	Plant tissue herbarium	PL	1885	United Kingdom
PL0008	0.522	0.88813	11.7468	0.00108	0.07648	0.0930249	nointerests	Plant tissue herbarium	PL	1885	United Kingdom
PL0011	0.596	0.89619	13.1829	0.00198	0.12877	0.166816	nointerests	Plant tissue herbarium	PL	1936	Sweden
PL0020	0.698	0.89162	10.2331	0.00102	0.04271	0.0474722	nointerests	Plant tissue herbarium	PL	1940	Sweden
PL0023	0.66	0.86667	4.84813	0.00123	0.01578	0.0174238	nointerests	Plant tissue herbarium	PL	1887	Sweden
PL0026	0.5	0.89862	15.3497	0.01012	0.72721	1.73593	cover>=65%Ps	Plant tissue herbarium	PL	2002	Sweden
PL0033	0.632	0.88776	12.8883	0.00058	0.03271	0.0387777	nointerests	Plant tissue herbarium	PL	1905	Germany
PL0034	0.622	0.88736	13.7748	0.00183	0.11647	0.141599	nointerests	Plant tissue herbarium	PL	1905	Germany
