query	best_ref_type	best_ref_name	aligned_len/ref_len	best_identity	best_bitscore
p1.G2_trimHTF1383_1	T1	WP_024649699.1	510/510	67.255	662.0
p12.A11_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p12.E2_trimHTF1803_1	T1	WP_024658146.1	625/625	72.960	901.0
p12.G7_trimHTF1383_1	T1	WP_024649699.1	510/510	67.255	662.0
p13.C1_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p13.D10_trimHTF1383_1	T1	WP_024649699.1	510/510	67.451	664.0
p13.F3_trimHTF1830_1	T1	WP_024658146.1	625/625	78.240	971.0
p20.D4_trimHTF1803_1	T1	WP_024658146.1	625/625	72.480	898.0
p20.F10_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p20.G9_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p21.A8_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p21.E3_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p21.F1_trimHTF1803_1	T1	WP_024658146.1	625/625	72.800	904.0
p21.F9_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p22.A8_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p22.B5_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p22.C1_trimHTF1383_1	T1	WP_024649699.1	510/510	67.255	662.0
p22.D1_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p22.D4_trimHTF1803_1	T1	WP_024658146.1	625/625	73.440	907.0
p23.A3_trimHTF1830_1	T1	WP_024658146.1	625/625	78.400	974.0
p23.B2_trimHTF1830_1	T1	WP_024658146.1	625/625	78.240	973.0
p23.B8_trimHTF1803_1	T1	WP_024658146.1	625/625	73.440	907.0
p24.B5_trimHTF1383_1	T1	WP_024649699.1	510/510	67.255	662.0
p24.H2_trimHTF1830_1	T1	WP_024658146.1	625/625	77.920	968.0
p25.A12_trimHTF1383_1	T1	WP_024649699.1	510/510	67.451	664.0
p25.B2_trimHTF1803_1	T1	WP_024658146.1	625/625	72.480	898.0
p25.C11_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p25.C2_trimHTF1803_1	T1	WP_024658146.1	625/625	72.480	898.0
p25.D2_trimHTF1803_1	T1	WP_024658146.1	625/625	72.480	898.0
p26.B7_trimHTF1803_1	T1	WP_024658146.1	625/625	72.800	900.0
p26.D6_trimHTF1803_1	T1	WP_024658146.1	625/625	73.440	907.0
p26.E7_trimHTF1803_1	T1	WP_024658146.1	625/625	73.440	907.0
p27.D6_trimHTF1245_1	T1	WP_024693886.1	205/624	88.293	361.0
p27.F2_trimHTF1383_1	T1	WP_024649699.1	510/510	67.451	664.0
p3.A3_trimHTF1803_1	T1	WP_024658146.1	625/625	72.480	898.0
p3.F12_trimHTF1803_1	T1	WP_024658146.1	625/625	72.480	898.0
p3.F8_trimHTF1803_1	T1	WP_024658146.1	625/625	73.280	905.0
p3.G9_trimHTF1383_1	T1	WP_024649699.1	510/510	67.255	662.0
p4.A6_trimHTF1803_1	T1	WP_024658146.1	625/625	72.480	898.0
p4.D2_trimHTF1383_1	T1	WP_024649699.1	510/510	68.235	669.0
p4.E5_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p4.E6_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p5.C1_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p5.C3_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	363.0
p5.D5_trimHTF1803_1	T1	WP_024658146.1	625/625	72.800	904.0
p5.H11_trimHTF1830_1	T1	WP_024658146.1	625/625	78.400	974.0
p6.B9_trimHTF1803_1	T1	WP_024658146.1	625/625	73.440	907.0
p7.G11_trimHTF1830_1	T1	WP_024658146.1	625/625	78.400	974.0
p8.B3_trimHTF1803_1	T1	WP_024658146.1	625/625	72.480	898.0
p8.B9_trimHTF1803_1	T1	WP_024658146.1	625/625	72.800	904.0
p8.C7_trimHTF1245_1	T1	WP_024693886.1	205/624	88.780	362.0
p8.E4_trimHTF1383_1	T1	WP_024649699.1	510/510	67.451	664.0
p8.H7_trimHTF1830_1	T1	WP_024658146.1	625/625	77.600	966.0
