SAMPLE	Taxa	HTF_length	Tailocin_type	Phylogroup
p12.A11	P_viridiflava	1245	NA	ATUE5
p12.E2	P_viridiflava	1803	NA	ATUE5
p12.G7	P_viridiflava	1383	NA	ATUE5
p13.C1	P_viridiflava	1245	NA	ATUE5
p13.D10	P_viridiflava	1383	NA	ATUE5
p13.F3	P_viridiflava	1830	NA	ATUE5
p1.G2	P_viridiflava	1383	NA	ATUE5
p20.D4	P_viridiflava	1803	NA	ATUE5
p20.F10	P_viridiflava	1245	NA	ATUE5
p20.G9	P_viridiflava	1245	NA	ATUE5
p21.A8	P_viridiflava	1245	NA	ATUE5
p21.E3	P_viridiflava	1245	NA	ATUE5
p21.F1	P_viridiflava	1803	NA	ATUE5
p21.F9	P_viridiflava	1245	NA	ATUE5
p22.A8	P_viridiflava	1245	NA	ATUE5
p22.B5	P_viridiflava	1245	NA	ATUE5
p22.C1	P_viridiflava	1383	NA	ATUE5
p22.D1	P_viridiflava	1245	NA	ATUE5
p22.D4	P_viridiflava	1803	NA	ATUE5
p23.A3	P_viridiflava	1830	NA	ATUE5
p23.B2	P_viridiflava	1830	NA	ATUE5
p23.B8	P_viridiflava	1803	NA	ATUE5
p24.B5	P_viridiflava	1383	NA	ATUE5
p24.H2	P_viridiflava	1830	NA	ATUE5
p25.A12	P_viridiflava	1383	NA	ATUE5
p25.B2	P_viridiflava	1803	NA	ATUE5
p25.C11	P_viridiflava	1245	NA	ATUE5
p25.C2	P_viridiflava	1803	NA	ATUE5
p25.D2	P_viridiflava	1803	NA	ATUE5
p26.B7	P_viridiflava	1803	NA	ATUE5
p26.D6	P_viridiflava	1803	NA	ATUE5
p26.E7	P_viridiflava	1803	NA	ATUE5
p27.D6	P_viridiflava	1245	NA	ATUE5
p27.F2	P_viridiflava	1383	NA	ATUE5
p3.A3	P_viridiflava	1803	NA	ATUE5
p3.F12	P_viridiflava	1803	NA	ATUE5
p3.F8	P_viridiflava	1803	NA	ATUE5
p3.G9	P_viridiflava	1383	NA	ATUE5
p4.A6	P_viridiflava	1803	NA	ATUE5
p4.D2	P_viridiflava	1383	NA	ATUE5
p4.E5	P_viridiflava	1245	NA	ATUE5
p4.E6	P_viridiflava	1245	NA	ATUE5
p5.C1	P_viridiflava	1245	NA	ATUE5
p5.C3	P_viridiflava	1245	NA	ATUE5
p5.D5	P_viridiflava	1803	NA	ATUE5
p5.H11	P_viridiflava	1830	NA	ATUE5
p6.B9	P_viridiflava	1803	NA	ATUE5
p7.G11	P_viridiflava	1830	NA	ATUE5
p8.B3	P_viridiflava	1803	NA	ATUE5
p8.B9	P_viridiflava	1803	NA	ATUE5
p8.C7	P_viridiflava	1245	NA	ATUE5
p8.E4	P_viridiflava	1383	NA	ATUE5
p8.H7	P_viridiflava	1830	NA	ATUE5
Pseudomonas_syringae_1188_1_11471_NZ_RBPG01000002	P_syringae	1872	T1	2b
Pseudomonas_syringae_1845_4123_NZ_LYUP01000021	P_syringae	1872	T1	2b
Pseudomonas_syringae_2507_4122_NZ_LYUO01000008	P_syringae	1872	T1	2b
Pseudomonas_syringae_260-02_11495_NZ_MLFM01000009	P_syringae	1587	T2	2a
