Isolate	Reference	Total_Allele_Kmers	Matched_Kmers	Prop
p12.A11	HTF_p21.F9	746	746	1.0
p12.A11	HTF_p23.B8	31	0	0.0
p12.A11	HTF_p25.A12	777	0	0.0
p12.A11	HTF_p25.C2	1167	0	0.0
p12.A11	HTF_p26.D6	15	0	0.0
p12.A11	HTF_p5.D5	993	0	0.0
p12.A11	HTF_p7.G11	1063	0	0.0
p12.E2	HTF_p21.F9	746	3	0.004
p12.E2	HTF_p23.B8	31	0	0.0
p12.E2	HTF_p25.A12	777	0	0.0
p12.E2	HTF_p25.C2	1167	702	0.6015
p12.E2	HTF_p26.D6	15	13	0.8667
p12.E2	HTF_p5.D5	993	29	0.0292
p12.E2	HTF_p7.G11	1063	15	0.0141
p12.F2	HTF_p21.F9	746	746	1.0
p12.F2	HTF_p23.B8	31	0	0.0
p12.F2	HTF_p25.A12	777	0	0.0
p12.F2	HTF_p25.C2	1167	0	0.0
p12.F2	HTF_p26.D6	15	0	0.0
p12.F2	HTF_p5.D5	993	0	0.0
p12.F2	HTF_p7.G11	1063	0	0.0
p12.G7	HTF_p21.F9	746	3	0.004
p12.G7	HTF_p23.B8	31	0	0.0
p12.G7	HTF_p25.A12	777	380	0.4891
p12.G7	HTF_p25.C2	1167	0	0.0
p12.G7	HTF_p26.D6	15	13	0.8667
p12.G7	HTF_p5.D5	993	2	0.002
p12.G7	HTF_p7.G11	1063	46	0.0433
p13.C1	HTF_p21.F9	746	420	0.563
p13.C1	HTF_p23.B8	31	0	0.0
p13.C1	HTF_p25.A12	777	0	0.0
p13.C1	HTF_p25.C2	1167	0	0.0
p13.C1	HTF_p26.D6	15	13	0.8667
p13.C1	HTF_p5.D5	993	27	0.0272
p13.C1	HTF_p7.G11	1063	31	0.0292
p13.C7	HTF_p21.F9	746	0	0.0
p13.C7	HTF_p23.B8	31	0	0.0
p13.C7	HTF_p25.A12	777	0	0.0
p13.C7	HTF_p25.C2	1167	0	0.0
p13.C7	HTF_p26.D6	15	0	0.0
p13.C7	HTF_p5.D5	993	993	1.0
p13.C7	HTF_p7.G11	1063	0	0.0
p13.D10	HTF_p21.F9	746	0	0.0
p13.D10	HTF_p23.B8	31	0	0.0
p13.D10	HTF_p25.A12	777	458	0.5894
p13.D10	HTF_p25.C2	1167	0	0.0
p13.D10	HTF_p26.D6	15	13	0.8667
p13.D10	HTF_p5.D5	993	0	0.0
p13.D10	HTF_p7.G11	1063	32	0.0301
p13.F3	HTF_p21.F9	746	0	0.0
p13.F3	HTF_p23.B8	31	0	0.0
p13.F3	HTF_p25.A12	777	22	0.0283
p13.F3	HTF_p25.C2	1167	14	0.012
p13.F3	HTF_p26.D6	15	0	0.0
p13.F3	HTF_p5.D5	993	10	0.0101
p13.F3	HTF_p7.G11	1063	475	0.4468
p1.G2	HTF_p21.F9	746	0	0.0
p1.G2	HTF_p23.B8	31	0	0.0
p1.G2	HTF_p25.A12	777	358	0.4607
p1.G2	HTF_p25.C2	1167	0	0.0
p1.G2	HTF_p26.D6	15	13	0.8667
p1.G2	HTF_p5.D5	993	76	0.0765
p1.G2	HTF_p7.G11	1063	52	0.0489
p20.D4	HTF_p21.F9	746	0	0.0
p20.D4	HTF_p23.B8	31	0	0.0
p20.D4	HTF_p25.A12	777	0	0.0
p20.D4	HTF_p25.C2	1167	1088	0.9323
p20.D4	HTF_p26.D6	15	0	0.0
p20.D4	HTF_p5.D5	993	0	0.0
p20.D4	HTF_p7.G11	1063	0	0.0
p20.F10	HTF_p21.F9	746	699	0.937
p20.F10	HTF_p23.B8	31	0	0.0
p20.F10	HTF_p25.A12	777	0	0.0
p20.F10	HTF_p25.C2	1167	0	0.0
p20.F10	HTF_p26.D6	15	0	0.0
p20.F10	HTF_p5.D5	993	0	0.0
p20.F10	HTF_p7.G11	1063	0	0.0
p20.G9	HTF_p21.F9	746	746	1.0
p20.G9	HTF_p23.B8	31	0	0.0
p20.G9	HTF_p25.A12	777	0	0.0
p20.G9	HTF_p25.C2	1167	0	0.0
p20.G9	HTF_p26.D6	15	0	0.0
p20.G9	HTF_p5.D5	993	0	0.0
p20.G9	HTF_p7.G11	1063	0	0.0
p21.A8	HTF_p21.F9	746	746	1.0
p21.A8	HTF_p23.B8	31	0	0.0
p21.A8	HTF_p25.A12	777	0	0.0
p21.A8	HTF_p25.C2	1167	0	0.0
p21.A8	HTF_p26.D6	15	0	0.0
p21.A8	HTF_p5.D5	993	0	0.0
p21.A8	HTF_p7.G11	1063	0	0.0
p21.E3	HTF_p21.F9	746	420	0.563
p21.E3	HTF_p23.B8	31	0	0.0
p21.E3	HTF_p25.A12	777	0	0.0
p21.E3	HTF_p25.C2	1167	0	0.0
p21.E3	HTF_p26.D6	15	13	0.8667
p21.E3	HTF_p5.D5	993	27	0.0272
p21.E3	HTF_p7.G11	1063	31	0.0292
p21.F1	HTF_p21.F9	746	0	0.0
p21.F1	HTF_p23.B8	31	0	0.0
p21.F1	HTF_p25.A12	777	0	0.0
p21.F1	HTF_p25.C2	1167	0	0.0
p21.F1	HTF_p26.D6	15	0	0.0
p21.F1	HTF_p5.D5	993	993	1.0
p21.F1	HTF_p7.G11	1063	0	0.0
p21.F9	HTF_p21.F9	746	746	1.0
p21.F9	HTF_p23.B8	31	0	0.0
p21.F9	HTF_p25.A12	777	0	0.0
