Isolate	Reference	Total_Allele_Kmers	Matched_Kmers	PropNorm
109.NOR_1990	HTF_p21.F9	746	0	0
109.NOR_1990	HTF_p23.B8	31	0	0
109.NOR_1990	HTF_p25.A12	777	0	0
109.NOR_1990	HTF_p25.C2	1167	0	0
109.NOR_1990	HTF_p26.D6	15	0	0
109.NOR_1990	HTF_p5.D5	993	943	1
109.NOR_1990	HTF_p7.G11	1063	0	0
120.RUS_1860	HTF_p21.F9	746	28	0.0380434782608696
120.RUS_1860	HTF_p23.B8	31	0	0
120.RUS_1860	HTF_p25.A12	777	0	0
120.RUS_1860	HTF_p25.C2	1167	0	0
120.RUS_1860	HTF_p26.D6	15	0	0
120.RUS_1860	HTF_p5.D5	993	708	0.96195652173913
120.RUS_1860	HTF_p7.G11	1063	0	0
27.ESP_1975	HTF_p21.F9	746	61	0.792207792207792
27.ESP_1975	HTF_p23.B8	31	0	0
27.ESP_1975	HTF_p25.A12	777	16	0.207792207792208
27.ESP_1975	HTF_p25.C2	1167	0	0
27.ESP_1975	HTF_p26.D6	15	0	0
27.ESP_1975	HTF_p5.D5	993	0	0
27.ESP_1975	HTF_p7.G11	1063	0	0
33.ESP_1985b	HTF_p21.F9	746	0	0
33.ESP_1985b	HTF_p23.B8	31	10	1
33.ESP_1985b	HTF_p25.A12	777	0	0
33.ESP_1985b	HTF_p25.C2	1167	0	0
33.ESP_1985b	HTF_p26.D6	15	0	0
33.ESP_1985b	HTF_p5.D5	993	0	0
33.ESP_1985b	HTF_p7.G11	1063	0	0
34.ESP_1985c_S36	HTF_p21.F9	746	253	0.996062992125984
34.ESP_1985c_S36	HTF_p23.B8	31	0	0
34.ESP_1985c_S36	HTF_p25.A12	777	0	0
34.ESP_1985c_S36	HTF_p25.C2	1167	0	0
34.ESP_1985c_S36	HTF_p26.D6	15	0	0
34.ESP_1985c_S36	HTF_p5.D5	993	1	0.00393700787401575
34.ESP_1985c_S36	HTF_p7.G11	1063	0	0
64.GBR_1933b_S36	HTF_p21.F9	746	245	0.875
64.GBR_1933b_S36	HTF_p23.B8	31	0	0
64.GBR_1933b_S36	HTF_p25.A12	777	0	0
64.GBR_1933b_S36	HTF_p25.C2	1167	0	0
64.GBR_1933b_S36	HTF_p26.D6	15	0	0
