SAMPLE	Tailocin_type	Coverage
Pseudomonas_syringae_7928A_6990	T1	97
Pseudomonas_syringae_CFBP_8692_12247	T2	99
Pseudomonas_syringae_pv_tomato_BRIP38746_11422	T2	100
Pseudomonas_syringae_R1079_7297	T1	97
Pseudomonas_syringae_pv_actinidiae_str_Shaanxi_M228_11439	T1	100
Pseudomonas_syringae_pv_actinidiae_PSAAH01_20743	T1	100
Pseudomonas_syringae_pv_actinidifoliorum_ICMP_18803_20753	T1	100
Pseudomonas_syringae_pv_tagetis_ICMP_4091_14835	T1	100
Pseudomonas_syringae_isolate_CFBP3840_6707	T1	100
Pseudomonas_syringae_pv_maculicola_str_ES4326_12204	T2	100
Pseudomonas_syringae_pv_maculicola_M4a_3822	T2	100
Pseudomonas_syringae_BS2732_5563	T1	100
Pseudomonas_syringae_Psy33_20718	T1	100
Pseudomonas_syringae_Pss9656_6144	T1	100
Pseudomonas_syringae_PA-5-3G_17692	T1	100
Pseudomonas_syringae_Pss9654_5872	T1	100
Pseudomonas_syringae_PsA1M246_17694	T1	97
Pseudomonas_syringae_PA-2-9E_17695	T1	97
Pseudomonas_syringae_psy100_6403	T2	100
Pseudomonas_syringae_PA-5-3F_17693	T2	100
Pseudomonas_syringae_Kozan_2015_1_17562	T2	100
Pseudomonas_syringae_31R1_5320	T2	100
Pseudomonas_syringae_MUP17_20728	T2	100
Pseudomonas_syringae_KCTC_12500_26106	T2	100
Pseudomonas_syringae_Karpuz_1_hishtil_a_17552	T2	100
Pseudomonas_syringae_P121_12232	T2	100
Pseudomonas_syringae_CC1557_3076	T2	100
Pseudomonas_syringae_StP26_17597	T2	100
Pseudomonas_syringae_LMG5095_7342	T2	100
Pseudomonas_syringae_U888_17589	T2	100
Pseudomonas_syringae_P108_12228	T2	100
Pseudomonas_syringae_U643_17595	T2	99
Pseudomonas_syringae_SV921_17588	T2	99
Pseudomonas_syringae_Tule230_17587	T2	99
Pseudomonas_syringae_SV1599_17591	T1	100
Pseudomonas_syringae_SHV323_17590	T1	100
Pseudomonas_syringae_5264_5873	T1	100
Pseudomonas_syringae_44527_20732	T1	100
Pseudomonas_syringae_Susan762_17594	T1	100
Pseudomonas_syringae_Sevgi_fide_PST_17555	T1	100
Pseudomonas_syringae_Tule1434_17592	T1	100
Pseudomonas_syringae_KF529_17593	T1	100
Pseudomonas_syringae_Susan2139_17596	T1	100
Pseudomonas_syringae_PA-1-11B_17691	T1	100
Pseudomonas_syringae_MUP20_20716	T1	100
Pseudomonas_syringae_SHV1866_17586	T1	100
Pseudomonas_syringae_MB03_4121	T1	97
