# strain1	strain2	divergence	clonal fraction	SNP rate in clonal	SNP rate in recombined	SNPs in clonal	SNPs in recombined
p5_H11	p13_F3	0.026594565997983627	0.033632912868222835	0.005855843659442657	0.02731695374892553	848.6141940424692	113744.58580595753
p5_H11	p8_H7	0.027057241604143197	0.023172457854988893	0.005534438980489549	0.027567394913213764	552.58875198896	116029.91124801105
p5_H11	p3_F12	0.02122042872904589	0.06242343269290422	0.004069828857861468	0.02236112403728648	1094.6622211079916	90335.137778892
p5_H11	p27_F2	0.01684194894557993	0.06916035649284175	0.0019318706341739805	0.017947484997242063	575.6938635408227	71983.80613645918
p5_H11	p20_D4	0.021389581445640838	0.04033232948782915	0.002914766446550227	0.022167256208362154	506.5396010422112	91661.9603989578
p5_H11	p23_B2	0.02214833231431777	0.05208741985378876	0.004044520549262883	0.023143586378133307	907.7290358455671	94526.87096415443
p5_H11	p25_D2	0.02132530805401285	0.0599456779053674	0.004027668940577959	0.022427192088773976	1040.3224674279443	90841.47753257205
p5_H11	p6_B9	0.023487399978884913	0.023528548716256613	0.00407821063250896	0.02395590343806895	413.4482219535848	100792.55177804643
p5_H11	p4_E6	0.016808304029384772	0.06895379806623361	0.0017265362932853653	0.017926334893530085	512.967961028564	71914.93203897144
p5_H11	p22_B5	0.01680807199547998	0.06895151841625606	0.001726484023602238	0.017926049828917077	512.93547279531	71913.96452720469
p5_H11	ref	0.02122042872904589	0.06242343269290422	0.004069828857861468	0.02236112403728648	1094.6622211079916	90335.137778892
p5_H11	p8_B3	0.02122042872904589	0.06242343269290422	0.004069828857861468	0.02236112403728648	1094.6622211079916	90335.137778892
p5_H11	p7_G11	1.1601695239708427e-06	1.0	1.1601695239708427e-06	nan	5.0	nan
p5_H11	p24_H2	0.026517298707687167	0.033174416615643486	0.006367463444610963	0.02721034190422749	910.1774905033875	113354.42250949661
p5_H11	p5_D5	0.023447258113355525	0.02396307511248541	0.0041201048539794725	0.02392201750523096	425.4094703374387	100605.19052966258
p5_H11	p22_C1	0.01693104996502089	0.07292140970167933	0.0019712712646628564	0.01811012051621768	619.380863291407	72342.61913670858
p5_H11	p3_F8	0.023467445063072617	0.020476627848903365	0.0037756639397944765	0.023879918357047752	333.12567433941564	100786.87432566058
p5_H11	p22_A8	0.016808536063289567	0.06895608674458222	0.0017265889495946304	0.017926620087740708	513.0006323290313	71915.89936767097
p5_H11	p5_C1	0.021386797038783305	0.04018320904580083	0.002986041593267319	0.022158210252556928	517.0074551707255	91638.79254482928
p5_H11	p26_B7	0.01674588690899514	0.07988639634623218	0.0021001070313169156	0.018017347029372015	722.8873013426813	71431.31269865733
p5_H11	p25_C2	0.02122042872904589	0.06242343269290422	0.004069828857861468	0.02236112403728648	1094.6622211079916	90335.137778892
p5_H11	p4_A6	0.021251289238383514	0.06233090795773073	0.004079918241122785	0.022391567383809985	1095.7494200323013	90467.05057996769
p5_H11	p21_A8	0.02128632635800743	0.04446368952362518	0.0032227572080796704	0.022125895978027152	617.4324083613509	91097.06759163865
p5_H11	p25_B2	0.02140373551383328	0.0619498209585155	0.004229997859495847	0.022536765278848535	1129.1107421863335	91090.68925781366
p5_H11	p13_C1	0.016808304029384772	0.06890872320842908	0.001726275399588878	0.01792556995696092	512.5551726911862	71915.34482730881
p5_H11	p23_B8	0.023424054722876106	0.024111152019082864	0.004396380220800446	0.02389396268386932	456.7405206690264	100471.95947933097
p5_H11	p26_D6	0.023585318286708054	0.02266053014143883	0.004054907938613823	0.024038999382411934	395.9199633233487	101232.08003667665
p5_H11	p8_B9	0.023530094217367042	0.025335809516197592	0.00431448305365613	0.024029861553986457	470.9988955787781	100916.6011044212
p5_H11	p4_D2	0.01678927724919165	0.07204952363953585	0.0022385513567069076	0.017919915587815593	694.9515249597501	71650.14847504025
p5_H11	p27_D6	0.02708183719805138	0.024707527800942007	0.005750169576783332	0.0276231653031746	612.1618788947428	116081.93812110527
p5_H11	p3_G9	0.021235278898952714	0.044614633900936694	0.002929234844192708	0.02208921972123401	563.1030261027726	90931.69697389723
