strain1	strain2	divergence	clonal_fraction	SNP_rate_clonal	SNP_rate_recomb	SNPs_clonal	SNPs_recomb
p5_H11	p7_G11	1.1601695239708427e-6	1	1.1601695239708427e-6	NA	5	NA
p3_F12	p8_B3	0	1	0	NA	0	NA
p3_F12	p25_C2	0	1	0	NA	0	NA
p4_E6	p22_B5	2.3203390479416853e-7	1	2.3203390479416853e-7	NA	1	NA
p4_E6	p22_A8	6.961017143825055e-7	1	6.961017143825055e-7	NA	3	NA
p4_E6	p13_C1	4.6406780958833706e-7	1	4.6406780958833706e-7	NA	2	NA
p4_E6	p5_C3	4.6406780958833706e-7	1	4.6406780958833706e-7	NA	2	NA
p4_E6	p21_E3	4.6406780958833706e-7	1	4.6406780958833706e-7	NA	2	NA
p22_B5	p22_A8	4.6406780958833706e-7	1	4.6406780958833706e-7	NA	2	NA
p22_B5	p13_C1	2.3203390479416853e-7	1	2.3203390479416853e-7	NA	1	NA
p22_B5	p5_C3	2.3203390479416853e-7	1	2.3203390479416853e-7	NA	1	NA
p22_B5	p21_E3	2.3203390479416853e-7	1	2.3203390479416853e-7	NA	1	NA
p8_B3	p25_C2	0	1	0	NA	0	NA
p22_A8	p13_C1	6.961017143825055e-7	1	6.961017143825055e-7	NA	3	NA
p22_A8	p5_C3	6.961017143825055e-7	1	6.961017143825055e-7	NA	3	NA
p22_A8	p21_E3	6.961017143825055e-7	1	6.961017143825055e-7	NA	3	NA
p21_A8	p20_G9	2.088305143147517e-6	0.9993759006834945	1.4834878436945265e-6	0.0014999999999999998	6.388063145364017	2.611936854635983
p21_A8	p12_A11	6.961017143825055e-7	1	6.961017143825055e-7	NA	3	NA
p21_A8	p21_F9	1.6242373335591797e-6	1	1.6242373335591797e-6	NA	7	NA
p21_A8	p20_F10	1.392203428765011e-6	1	1.392203428765011e-6	NA	6	NA
p13_C1	p5_C3	0	1	0	NA	0	NA
p13_C1	p21_E3	4.6406780958833706e-7	1	4.6406780958833706e-7	NA	2	NA
p23_B8	p26_E7	6.961017143825055e-7	1	6.961017143825055e-7	NA	3	NA
p8_B9	p21_F1	0	1	0	NA	0	NA
p5_C3	p21_E3	4.6406780958833706e-7	1	4.6406780958833706e-7	NA	2	NA
p20_G9	p12_A11	1.8562712383533482e-6	0.9993735451920956	1.2490318675307728e-6	0.0014999999999999998	5.378457038470676	2.6215429615293235
p20_G9	p21_F9	2.784406857530022e-6	0.9993923523116034	2.1920595513259354e-6	0.0014999999999999998	9.43940687350138	2.560593126498622
p20_G9	p20_F10	1.6242373335591797e-6	0.9993676250977108	1.013380768960251e-6	0.0014999999999999998	4.363693820705722	2.636306179294278
p12_A11	p21_F9	1.392203428765011e-6	1	1.392203428765011e-6	NA	6	NA
p12_A11	p20_F10	1.1601695239708427e-6	1	1.1601695239708427e-6	NA	5	NA
p21_F9	p20_F10	2.088305143147517e-6	1	2.088305143147517e-6	NA	9	NA
