utg000001l_p25.C2:2696041-2716969	tailocin
TFA_p23.B8:1-513	TFA_p23.B8
TFA_p26.D6:1-513	TFA_p26.D6
TFA_p21.F9:1-498	TFA_p21.F9
TFA_p25.C2:1-513	TFA_p25.C2
TFA_p5.D5:1-513	TFA_p5.D5
TFA_p25.A12:1-546	TFA_p25.A12
TFA_p7.G11:1-546	TFA_p7.G11
HTF_p23.B8:1-1803	HTF_p23.B8
HTF_p26.D6:1-1803	HTF_p26.D6
HTF_p21.F9:1-1245	HTF_p21.F9
HTF_p25.C2:1-1803	HTF_p25.C2
HTF_p5.D5:1-1803	HTF_p5.D5
HTF_p25.A12:1-1383	HTF_p25.A12
HTF_p7.G11:1-1830	HTF_p7.G11
