QueryRef	HTF_p23.B8	HTF_p25.A12	HTF_p25.C2	HTF_p26.D6	HTF_p5.D5	HTF_p7.G11	HTF_p21.F9
HTF_p21.F9	14	2	1	2	1	1	NA
HTF_p23.B8	NA	2	1	1	4	1	14
HTF_p25.A12	2	NA	1	3	1	1	2
HTF_p25.C2	1	1	NA	2	1	1	1
HTF_p26.D6	1	3	2	NA	5	2	2
HTF_p5.D5	4	1	1	5	NA	1	1
HTF_p7.G11	1	1	1	2	1	NA	1
