file	sample	ntotalgenes	BEST_HTF	BEST_TFA
final_p1.G2_HTFlen_1383.fa	p1.G2	25	1	1
final_p12.A11_HTFlen_1245.fa	p12.A11	25	1	1
final_p12.E2_HTFlen_1803.fa	p12.E2	25	1	1
final_p12.G7_HTFlen_1383.fa	p12.G7	25	1	1
final_p13.C1_HTFlen_1245.fa	p13.C1	25	1	1
final_p13.D10_HTFlen_1383.fa	p13.D10	25	1	1
final_p13.F3_HTFlen_1830.fa	p13.F3	24	1	1
final_p20.D4_HTFlen_1803.fa	p20.D4	25	1	1
final_p20.F10_HTFlen_1245.fa	p20.F10	25	1	1
final_p20.G9_HTFlen_1245.fa	p20.G9	25	1	1
final_p21.A8_HTFlen_1245.fa	p21.A8	25	1	1
final_p21.E3_HTFlen_1245.fa	p21.E3	25	1	1
final_p21.F1_HTFlen_1803.fa	p21.F1	25	1	1
final_p21.F9_HTFlen_1245.fa	p21.F9	25	1	1
final_p22.A8_HTFlen_1245.fa	p22.A8	25	1	1
final_p22.B5_HTFlen_1245.fa	p22.B5	25	1	1
final_p22.C1_HTFlen_1383.fa	p22.C1	25	1	1
final_p22.D1_HTFlen_1245.fa	p22.D1	25	1	1
final_p22.D4_HTFlen_1803.fa	p22.D4	25	1	1
final_p23.A3_HTFlen_1830.fa	p23.A3	24	1	1
final_p23.B2_HTFlen_1830.fa	p23.B2	24	1	1
final_p23.B8_HTFlen_1803.fa	p23.B8	25	1	1
final_p24.B5_HTFlen_1383.fa	p24.B5	25	1	1
final_p24.H2_HTFlen_1830.fa	p24.H2	24	1	1
final_p25.A12_HTFlen_1383.fa	p25.A12	24	1	1
final_p25.B2_HTFlen_1803.fa	p25.B2	26	1	1
final_p25.C11_HTFlen_1245.fa	p25.C11	25	1	1
final_p25.C2_HTFlen_1803.fa	p25.C2	26	1	1
final_p25.D2_HTFlen_1803.fa	p25.D2	26	1	1
final_p26.B7_HTFlen_1803.fa	p26.B7	25	1	1
final_p26.D6_HTFlen_1803.fa	p26.D6	25	1	1
final_p26.E7_HTFlen_1803.fa	p26.E7	25	1	1
final_p27.D6_HTFlen_1245.fa	p27.D6	25	1	1
final_p27.F2_HTFlen_1383.fa	p27.F2	25	1	1
final_p3.A3_HTFlen_1803.fa	p3.A3	26	1	1
final_p3.F12_HTFlen_1803.fa	p3.F12	26	1	1
final_p3.F8_HTFlen_1803.fa	p3.F8	25	1	1
final_p3.G9_HTFlen_1383.fa	p3.G9	25	1	1
final_p4.A6_HTFlen_1803.fa	p4.A6	25	1	1
final_p4.D2_HTFlen_1383.fa	p4.D2	25	1	1
final_p4.E5_HTFlen_1245.fa	p4.E5	25	1	1
final_p4.E6_HTFlen_1245.fa	p4.E6	25	1	1
final_p5.C1_HTFlen_1245.fa	p5.C1	25	1	1
final_p5.C3_HTFlen_1245.fa	p5.C3	25	1	1
final_p5.D5_HTFlen_1803.fa	p5.D5	25	1	1
final_p5.H11_HTFlen_1830.fa	p5.H11	24	1	1
final_p6.B9_HTFlen_1803.fa	p6.B9	25	1	1
final_p7.G11_HTFlen_1830.fa	p7.G11	24	1	1
final_p8.B3_HTFlen_1803.fa	p8.B3	26	1	1
final_p8.B9_HTFlen_1803.fa	p8.B9	25	1	1
final_p8.C7_HTFlen_1245.fa	p8.C7	25	1	1
final_p8.E4_HTFlen_1383.fa	p8.E4	24	1	1
final_p8.H7_HTFlen_1830.fa	p8.H7	24	1	1
