sample	top_HTFhaplotype	HTF_prop	tfa_bestHTF_prop	top_TFA	TFA_prop	HTF_len	HTF_cov	tfa_bestHTF_len	tfa_bestHTF_cov	bestTFA_len	bestTFA_cov
p1.G2	p25.A12	0.984093	0.877289	p25.C2	0.962963	1383	1361	546	479	513	494
p23.B2	p7.G11	0.989071	0.811355	p7.G11	0.811355	1830	1810	546	443	546	443
p12.A11	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p12.E2	p26.D6	0.987798	0.908382	p23.B8	0.933723	1803	1781	513	466	513	479
p12.F2	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p12.G7	p25.A12	0.984093	0.877289	p25.C2	0.962963	1383	1361	546	479	513	494
p13.C1	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p13.C7	p26.D6	0.987798	0.908382	p25.C2	0.962963	1803	1781	513	466	513	494
p13.D10	p25.A12	0.984093	0.877289	p25.C2	0.962963	1383	1361	546	479	513	494
p13.F3	p7.G11	0.989071	0.782051	p7.G11	0.782051	1830	1810	546	427	546	427
p20.D4	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p20.F10	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p20.G9	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p21.A8	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p21.E3	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p21.F1	p26.D6	0.987798	0.908382	p25.C2	0.962963	1803	1781	513	466	513	494
p21.F9	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p22.A8	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p22.B5	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p22.C1	p25.A12	0.984093	0.877289	p25.C2	0.962963	1383	1361	546	479	513	494
p22.D1	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p22.D4	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p23.A3	p7.G11	0.989071	0.921245	p7.G11	0.921245	1830	1810	546	503	546	503
p23.B8	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p24.B5	p25.A12	0.984093	0.877289	p25.C2	0.962963	1383	1361	546	479	513	494
p24.H2	p7.G11	0.989071	0.811355	p7.G11	0.811355	1830	1810	546	443	546	443
p25.A12	p25.A12	0.992769	0.970696	p25.A12	0.970696	1383	1373	546	530	546	530
p25.B2	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p25.C11	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p25.C2	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p25.D2	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p26.B7	p26.D6	0.987798	0.908382	p25.C2	0.962963	1803	1781	513	466	513	494
p26.D6	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p26.E7	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p27.D6	p21.F9	0.978313	0.947791	p21.F9	0.947791	1245	1218	498	472	498	472
p27.F2	p25.A12	0.984093	0.877289	p25.C2	0.962963	1383	1361	546	479	513	494
p3.A3	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p3.F12	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p3.F8	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p3.G9	p25.A12	0.984093	0.877289	p25.C2	0.962963	1383	1361	546	479	513	494
p4.A6	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p4.D2	p25.A12	0.984093	0.877289	p25.C2	0.962963	1383	1361	546	479	513	494
p4.E5	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p4.E6	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p5.C1	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p5.C3	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p5.D5	p26.D6	0.987798	0.908382	p25.C2	0.962963	1803	1781	513	466	513	494
p5.H11	p7.G11	0.989071	0.950549	p7.G11	0.950549	1830	1810	546	519	546	519
p6.A10	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p6.B9	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p7.G11	p7.G11	0.989071	0.950549	p7.G11	0.950549	1830	1810	546	519	546	519
p8.B3	p26.D6	0.987798	0.978558	p26.D6	0.978558	1803	1781	513	502	513	502
p8.B9	p26.D6	0.987798	0.908382	p25.C2	0.962963	1803	1781	513	466	513	494
p8.C7	p21.F9	0.988755	0.947791	p21.F9	0.947791	1245	1231	498	472	498	472
p8.E4	p25.A12	0.992769	0.970696	p25.A12	0.970696	1383	1373	546	530	546	530
p8.H7	p7.G11	0.975956	0.811355	p7.G11	0.811355	1830	1786	546	443	546	443
p9.C4	p21.F9	0.266667	0		0	1245	332	0	0	0	0
