sample	top_HTFhaplotype	HTF_prop	tfa_bestHTF_prop	top_TFA	TFA_prop	HTF_len	HTF_cov	tfa_bestHTF_len	tfa_bestHTF_cov	bestTFA_len	bestTFA_cov
109.NOR_1990	p5.D5	1	1	p5.D5	1	1803	1803	513	513	513	513
120.RUS_1860	p5.D5	0.968941	0.711501	p5.D5	0.711501	1803	1747	513	365	513	365
33.ESP_1985b	p26.D6	0.459789	1	p26.D6	1	1803	829	513	513	513	513
34.ESP_1985c_S36	p21.F9	0.989558	1	p21.F9	1	1245	1232	498	498	498	498
64.GBR_1933b_S36	p21.F9	0.573494	0		0	1245	714	0	0	0	0
75.LTU_1894_S30	p25.A12	0.966739	0	p5.D5	1	1383	1337	0	0	513	513
76.LTU_2009_S19	p21.F9	1	1	p21.F9	1	1245	1245	498	498	498	498
HB0737	p26.D6	0.134221	0.88694	p26.D6	0.88694	1803	242	513	455	513	455
HB0766	p21.F9	0.914859	0.981928	p21.F9	0.981928	1245	1139	498	489	498	489
HB0814	p25.A12	0.427332	0		0	1383	591	0	0	0	0
PL0042	p25.A12	0.993492	0	p5.D5	1	1383	1374	0	0	513	513
PL0046	p21.F9	0.739759	0.997992	p21.F9	0.997992	1245	921	498	497	498	497
PL0051	p25.A12	0.503254	0	p5.D5	0.649123	1383	696	0	0	513	333
PL0053	p7.G11	0.301093	0	p21.F9	0.973896	1830	551	0	0	498	485
PL0059	p21.F9	1	0	p26.D6	1	1245	1245	0	0	513	513
PL0068	p26.D6	0.182474	0.826511	p26.D6	0.826511	1803	329	513	424	513	424
PL0080	p25.A12	0.715112	0.798535	p21.F9	0.905622	1383	989	546	436	498	451
PL0102	p25.A12	0.993492	0	p5.D5	0.590643	1383	1374	0	0	513	303
PL0127	p7.G11	0.589617	0.901099	p7.G11	0.901099	1830	1079	546	492	546	492
PL0131	p5.D5	0.961176	0.990253	p26.D6	1	1803	1733	513	508	513	513
PL0137	p26.D6	0.317804	1	p26.D6	1	1803	573	513	513	513	513
PL0210	p7.G11	0.595082	0.838828	p7.G11	0.838828	1830	1089	546	458	546	458
PL0220	p25.A12	0.234996	0.60989	p25.A12	0.60989	1383	325	546	333	546	333
PL0224	p21.F9	0.325301	0.935743	p21.F9	0.935743	1245	405	498	466	498	466
PL0235	p21.F9	0.26506	0.983936	p21.F9	0.983936	1245	330	498	490	498	490
PL0240	p21.F9	0.985542	0.991968	p21.F9	0.991968	1245	1227	498	494	498	494
