Strain	HTF_length_from_bigdataset	HTF_by_mapping	HTF_by_kmer	mapping_length	kmer_length
p12.A11	1245	 HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	1245	1245
p12.E2	1803	 HTF_p26.D6 (1803)	HTF_p25.C2 (1803)	1803	1803
p12.G7	1383	 HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	1383	1383
p13.C1	1245	 HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	1245	1245
p13.D10	1383	 HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	1383	1383
p13.F3	1830	 HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	1830	1830
p1.G2	1383	 HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	1383	1383
p20.D4	1803	 HTF_p26.D6 (1803)	HTF_p25.C2 (1803)	1803	1803
p20.F10	1245	 HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	1245	1245
p20.G9	1245	 HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	1245	1245
p21.A8	1245	 HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	1245	1245
p21.E3	1245	 HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	1245	1245
p21.F1	1803	 HTF_p26.D6 (1803)	HTF_p5.D5 (1803)	1803	1803
p21.F9	1245	 HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	1245	1245
p22.A8	1245	 HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	1245	1245
p22.B5	1245	 HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	1245	1245
p22.C1	1383	 HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	1383	1383
p22.D1	1245	 HTF_p21.F9 (1245)	HTF_p21.F9 (1245)	1245	1245
p22.D4	1803	 HTF_p26.D6 (1803)	HTF_p26.D6 (1803)	1803	1803
p23.A3	1830	 HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	1830	1830
p23.B2	1830	 HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	1830	1830
p23.B8	1803	 HTF_p26.D6 (1803)	HTF_p23.B8 (1803)	1803	1803
p24.B5	1383	 HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	1383	1383
p24.H2	1830	 HTF_p7.G11 (1830)	HTF_p7.G11 (1830)	1830	1830
p25.A12	1383	 HTF_p25.A12 (1383)	HTF_p25.A12 (1383)	1383	1383
