Isolate	Reference	Total_Allele_Kmers	Matched_Kmers	Prop
109.NOR_1990	HTF_p21.F9	746	0	0.0
109.NOR_1990	HTF_p23.B8	31	0	0.0
109.NOR_1990	HTF_p25.A12	777	0	0.0
109.NOR_1990	HTF_p25.C2	1167	0	0.0
109.NOR_1990	HTF_p26.D6	15	0	0.0
109.NOR_1990	HTF_p5.D5	993	885	0.8912
109.NOR_1990	HTF_p7.G11	1063	0	0.0
120.RUS_1860	HTF_p21.F9	746	49	0.0657
120.RUS_1860	HTF_p23.B8	31	0	0.0
120.RUS_1860	HTF_p25.A12	777	0	0.0
120.RUS_1860	HTF_p25.C2	1167	0	0.0
120.RUS_1860	HTF_p26.D6	15	0	0.0
120.RUS_1860	HTF_p5.D5	993	665	0.6697
120.RUS_1860	HTF_p7.G11	1063	0	0.0
27.ESP_1975	HTF_p21.F9	746	103	0.1381
27.ESP_1975	HTF_p23.B8	31	0	0.0
27.ESP_1975	HTF_p25.A12	777	0	0.0
27.ESP_1975	HTF_p25.C2	1167	0	0.0
27.ESP_1975	HTF_p26.D6	15	0	0.0
27.ESP_1975	HTF_p5.D5	993	0	0.0
27.ESP_1975	HTF_p7.G11	1063	0	0.0
30.ESP_1983b	HTF_p21.F9	746	3	0.004
30.ESP_1983b	HTF_p23.B8	31	0	0.0
30.ESP_1983b	HTF_p25.A12	777	74	0.0952
30.ESP_1983b	HTF_p25.C2	1167	0	0.0
30.ESP_1983b	HTF_p26.D6	15	0	0.0
30.ESP_1983b	HTF_p5.D5	993	0	0.0
30.ESP_1983b	HTF_p7.G11	1063	0	0.0
33.ESP_1985b	HTF_p21.F9	746	0	0.0
33.ESP_1985b	HTF_p23.B8	31	11	0.3548
33.ESP_1985b	HTF_p25.A12	777	0	0.0
33.ESP_1985b	HTF_p25.C2	1167	0	0.0
33.ESP_1985b	HTF_p26.D6	15	0	0.0
33.ESP_1985b	HTF_p5.D5	993	0	0.0
33.ESP_1985b	HTF_p7.G11	1063	0	0.0
34.ESP_1985c_S36	HTF_p21.F9	746	248	0.3324
34.ESP_1985c_S36	HTF_p23.B8	31	0	0.0
34.ESP_1985c_S36	HTF_p25.A12	777	0	0.0
34.ESP_1985c_S36	HTF_p25.C2	1167	0	0.0
